公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,7.9,6.93,4.02,3.64,5.36,3.67,3.45,3.94,4.73,4.67,2.87,4.96,4.68,4.58,3.87,4.32,3.82,4.18,3.43,4.35,5.28,5.05,3.57,4.54,5.35,3.95,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1.46,1.5,1.36,1.31,1.37,1.46,1.97,1.87,1.73,1.79,1.84,1.46,2.38,1.31,1.38,1.78,1.53,1.72,1.62,1.38,1.38,1.33,1.24,1.16,1.53,1.45,1.38,2.19,2.06,2.2,2.35,2.61,3.26,2.03,1.94,2.3,2.24,2.2,2.18,2.1,2.23,1.94,1.59,1.56,1.58,1.76,1.46,1.59
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,7.07,,8.01,3.5,3.29,3.65,3.93,4.43,3.51,3.55,5.07,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),1.06,1.05,0.93,0.81,0.97,1.02,1.01,0.62,0.87,0.75,0.87,0.61,0.78,0.64,0.72,0.56,0.74,0.77,1.05,0.8,0.94,0.76,0.84,0.51,0.74,0.67,0.92,0.97,1.23,1.03,1.08,0.97,1.26,1.01,1.12,0.62,0.79,0.65,0.89,0.63,0.72,0.82,0.98,0.54,0.78,0.72,0.75,0.98
2397 友通 (上市電腦及週邊設備業),1.08,1.34,1.19,1.24,1.28,1.19,1.38,1.06,0.99,1.0,1.03,1.01,1.36,1.43,1.53,1.39,1.33,1.38,1.49,1.37,1.44,1.56,-1.05,1.0,1.12,1.23,1.33,1.5,1.62,1.46,1.22,1.64,1.56,1.54,1.7,1.72,1.72,1.37,1.46,1.64,1.53,1.44,1.36,1.44,1.39,1.18,1.61,1.16
8234 新漢 (上櫃電腦及週邊設備業),1.26,1.3,1.26,1.06,1.32,1.17,1.35,1.01,1.18,1.17,1.23,0.89,1.16,1.29,1.3,1.06,1.24,1.11,1.08,0.96,1.0,1.03,1.09,1.32,1.32,1.43,1.29,1.22,1.3,1.24,1.41,1.4,1.51,1.47,1.41,1.33,1.46,1.37,1.54,1.29,1.5,1.49,1.43,1.13,1.29,1.27,1.18,1.29
2395 研華 (上市電腦及週邊設備業),1.53,1.57,1.48,1.44,1.56,1.54,1.47,1.34,1.59,1.42,1.46,1.48,1.49,1.51,1.52,1.52,1.47,1.51,1.44,1.55,1.54,1.46,1.59,1.52,1.62,1.62,1.68,1.49,1.64,1.56,1.56,1.44,1.54,1.46,1.51,1.54,1.68,1.47,1.52,1.59,1.6,1.51,1.54,1.42,1.59,1.48,1.45,1.48
6166 凌華 (上市電腦及週邊設備業),1.55,1.5,1.7,1.31,1.3,1.32,1.52,1.41,1.36,1.38,1.46,1.12,1.26,1.2,1.4,1.12,1.22,1.32,1.47,1.39,1.5,1.35,1.33,0.96,1.34,1.3,1.45,1.28,1.41,1.17,1.2,1.33,1.52,1.25,1.32,1.41,1.55,1.42,1.34,1.43,1.51,1.45,1.69,1.29,1.66,1.67,1.3,1.46
3088 艾訊 (上櫃電腦及週邊設備業),1.77,2.14,1.8,1.75,2.02,1.84,1.8,1.61,1.59,1.62,1.67,1.36,1.59,1.93,1.72,1.83,1.95,2.25,2.39,2.06,2.24,1.96,1.98,1.91,2.08,2.18,2.18,1.75,1.85,2.13,2.03,2.19,2.11,1.99,1.93,1.99,1.88,2.16,2.23,2.32,2.09,2.13,1.9,1.76,1.79,1.86,2.24,1.6
6579 研揚 (上市電腦及週邊設備業),1.74,1.92,1.71,1.79,1.82,1.72,2.04,1.75,1.81,1.77,1.98,2.0,2.09,2.01,2.13,1.66,1.84,1.87,2.02,1.85,2.06,1.98,2.08,2.01,2.14,1.96,2.01,,,,,,,,,,,,,,3.39,1.62,1.47,1.7,1.86,1.69,1.82,1.98
