公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),30.4,37.46,37.1,38.02,42.58,26.09,23.66,34.78,37.21,27.52,29.33,37.81,37.36,32.71,36.27,43.41,43.12,40.8,36.42,39.88,40.92,39.31,32.48,37.49,58.54,66.88,61.91,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),28.59,41.75,24.02,24.86,29.1,29.86,31.4,43.03,41.65,36.79,41.09,45.52,45.42,46.65,44.87,46.67,46.09,40.88,40.31,38.24,43.8,37.76,36.42,29.65,34.54,34.81,35.39,29.78,31.91,28.72,25.67,21.93,32.55,35.57,35.4,26.62,32.45,30.47,27.42,27.4,33.79,29.29,26.7,25.53,40.24,35.77,31.07,26.93
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,41.23,,46.26,,30.8,41.41,41.91,28.9,22.77,33.49,53.22,48.93,46.22,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),49.03,46.79,46.0,47.12,49.17,47.33,47.9,49.43,58.27,54.69,51.22,50.95,50.54,51.76,51.47,42.3,42.33,41.91,43.2,42.63,43.28,40.43,40.87,39.44,34.76,35.72,43.85,45.69,40.68,39.63,41.71,45.37,44.64,46.46,40.91,42.96,37.58,40.3,43.44,46.2,46.67,50.52,51.36,54.47,52.66,49.73,49.08,47.02
2397 友通 (上市電腦及週邊設備業),25.4,41.1,31.88,30.98,39.92,30.72,38.59,37.79,42.99,38.47,37.73,39.5,50.6,56.14,55.3,59.85,58.04,57.18,55.69,55.98,53.39,51.81,45.25,47.5,48.23,54.98,52.69,15.61,23.33,14.92,16.72,16.63,20.52,15.88,17.8,18.84,26.7,16.13,18.5,21.97,29.74,20.71,21.64,21.42,33.93,25.4,27.21,29.72
8234 新漢 (上櫃電腦及週邊設備業),56.18,55.16,60.6,60.52,61.48,61.12,60.62,58.38,59.2,58.68,56.72,55.97,61.62,63.65,64.46,63.59,64.56,60.29,60.01,54.64,57.19,55.0,52.36,48.79,51.62,51.41,52.01,35.37,52.24,51.07,50.76,49.87,52.38,46.62,47.26,46.79,51.67,48.05,48.41,47.3,50.13,53.08,53.56,53.25,56.98,57.42,53.99,59.79
2395 研華 (上市電腦及週邊設備業),31.8,41.61,32.77,32.48,41.61,31.77,30.68,41.56,41.07,30.85,30.19,40.8,41.45,33.91,33.66,41.62,41.66,33.61,33.29,42.89,38.55,30.56,29.32,39.12,36.45,26.76,27.8,26.63,36.59,28.57,29.47,27.99,37.37,29.43,28.55,27.49,38.93,30.01,30.98,29.34,39.17,30.11,34.13,29.19,39.46,32.54,30.51,33.53
6166 凌華 (上市電腦及週邊設備業),40.69,47.76,44.82,45.68,46.56,44.22,44.4,44.13,48.21,46.81,48.34,59.04,60.75,66.14,66.46,65.96,64.14,63.2,58.28,63.23,61.42,58.99,58.23,58.38,58.32,57.52,57.25,43.18,46.63,44.72,40.18,42.35,48.76,46.63,43.55,46.72,51.97,47.72,48.6,39.2,45.15,42.88,41.93,43.76,49.44,47.35,41.84,44.75
3088 艾訊 (上櫃電腦及週邊設備業),37.14,49.14,42.92,41.7,44.03,41.4,36.91,36.95,42.48,41.04,34.86,39.18,43.02,39.12,42.31,44.0,45.23,42.94,40.88,44.63,41.98,39.08,38.71,42.6,42.59,39.96,35.42,36.57,45.87,38.18,35.94,38.18,43.62,37.66,38.35,37.36,47.77,41.41,41.88,34.97,45.44,39.7,46.69,43.33,39.41,34.18,36.83,43.56
6579 研揚 (上市電腦及週邊設備業),20.36,29.07,14.04,15.34,21.11,15.59,14.07,14.46,19.16,12.88,12.58,14.39,21.95,17.79,17.87,19.63,23.07,19.65,17.89,16.98,21.7,17.21,15.69,17.35,24.61,17.27,15.48,,,,,,,,,,,,27.89,,36.66,30.2,28.6,24.91,32.99,19.27,17.65,15.78
3479 安勤 (上櫃電腦及週邊設備業),33.23,38.36,32.32,34.77,39.99,42.13,38.32,41.77,38.06,31.33,28.84,36.32,38.94,41.68,42.72,48.5,48.6,47.58,41.84,47.87,44.94,42.24,37.45,43.44,44.36,43.38,42.84,41.65,48.67,40.39,25.78,28.9,38.22,37.8,25.12,25.77,30.52,28.98,28.61,29.49,36.98,34.32,31.02,31.39,38.49,36.15,38.04,38.35
6414 樺漢 (上市電腦及週邊設備業),62.81,65.01,65.6,62.0,67.31,67.83,68.63,66.8,67.84,67.44,67.26,67.56,68.31,69.3,68.82,66.77,67.44,68.41,64.16,63.76,60.83,59.67,60.82,63.17,64.89,63.09,,,42.93,37.03,34.41,22.32,26.06,28.99,31.54,34.15,43.2,43.19,42.76,46.13,54.41,40.95,49.18,61.26,66.53,65.3,62.21,65.2
6570 維田 (上櫃電腦及週邊設備業),34.03,38.07,35.45,34.52,39.98,37.76,33.47,33.77,38.61,37.36,53.57,53.61,51.95,52.47,50.27,49.9,59.59,42.6,36.52,43.12,41.48,32.18,31.05,38.34,41.16,40.75,39.75,,,,,,,,,,31.01,,25.95,,30.32,,19.15,,30.07,20.51,33.98,35.34
6245 立端 (上櫃通信網路業),43.7,46.84,46.43,38.97,44.02,41.35,42.95,40.53,43.04,43.69,50.68,47.3,55.76,53.06,55.24,49.14,54.44,51.88,52.7,48.02,51.02,50.85,37.75,35.39,40.03,32.2,31.88,49.08,51.24,54.63,49.48,44.62,44.1,45.61,45.53,42.57,46.09,45.69,46.28,43.51,49.27,41.54,43.37,36.85,44.95,44.14,37.13,46.67
通信網路業,36.12,38.66,34.8,34.44,39.86,37.28,35.59,38.63,43.36,41.97,41.81,40.75,45.39,43.89,43.22,42.87,47.28,45.63,45.0,43.14,46.13,44.0,42.76,42.16,45.86,42.67,42.5,33.9,40.8,35.81,36.68,35.05,41.06,37.38,36.54,35.69,41.11,37.52,36.79,34.93,40.62,36.98,36.36,33.7,39.92,35.57,32.39,35.56
3416 融程電 (上市電腦及週邊設備業),14.82,22.68,16.2,16.01,24.35,20.05,13.12,13.8,23.76,18.52,20.36,30.05,38.59,32.39,35.2,31.15,39.42,32.81,32.56,31.81,29.55,20.32,20.99,36.37,35.18,26.21,28.92,24.53,31.87,16.83,16.39,15.57,24.88,13.0,14.52,13.48,24.51,13.22,13.83,12.05,22.92,13.55,15.94,13.53,23.25,14.68,11.92,14.87
