公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,,,,-63.68,,-80.17,-29.25,-7.06,-47.17,-54.17,-58.67,-55.7,-21.43,518.18,54.84,142.86,222.73,50.0,-22.92,22.35,1.41,-53.92,-8.11,-4.81,-38.19,338.3,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-72.73,-59.26,-38.1,196.77,122.73,-94.21,361.54,-93.48,-10.2,0.0,-78.33,416.67,-25.0,363.64,1084.62,393.55,572.73,566.67,42.21,22.22,-23.87,-43.82,-111.42,-26.74,-30.77,-67.54,460.0,24.32,123.64,1.15,45.57,57.61,-52.03,59.09,-1.74,5.52,206.78,-5.0,-31.86,-58.17,-70.17,-8.27,-51.56,55.74
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,,,,,-76.98,,-91.43,60.71,98.99,-10.67,433.33,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-286.21,-35.29,120.37,140.32,-11.36,-62.16,-127.27,-284.0,-30.77,135.71,133.33,73.91,-51.85,-100.0,1350.0,250.0,84.62,,44.83,111.11,129.17,-42.19,-100.0,-50.0,-25.45,-67.57,,114.29,-31.17,34.62,111.9,-200.0,-49.06,-57.14,-25.84,103.33,-62.96,-406.67,-12.12,-11600.0,580.0,982.61,46.09,-90.89
2397 友通 (上市電腦及週邊設備業),-36.45,48.18,67.65,22.81,5.52,-2.17,-9.65,-9.29,-61.05,-31.11,-33.98,-54.33,-17.91,-33.33,433.82,25.86,83.64,172.58,-67.49,50.68,-15.84,-72.19,-37.29,-59.09,-24.71,70.21,112.16,32.0,6.56,29.31,73.08,-3.03,21.54,40.0,-27.78,103.13,50.63,-1.9,64.62,-47.69,-7.56,15.53,67.65,15.97
8234 新漢 (上櫃電腦及週邊設備業),-48.44,-50.0,63.64,161.54,61.29,40.91,-14.81,-64.71,-52.0,-9.68,-8.7,-300.0,-62.5,100.0,42.86,375.0,677.78,723.21,-30.0,39.39,-87.14,-86.98,-180.95,-115.22,-11.11,-70.0,244.12,0.0,57.45,2312.5,2.44,-96.36,-58.11,-73.58,33.33,1450.0,32.26,-50.98,14.29,-200.0,51.22,40.0,141.94,-37.14
2395 研華 (上市電腦及週邊設備業),4.91,-8.1,-0.43,18.46,19.38,24.9,3.85,-19.91,21.4,-17.65,-9.05,34.05,-29.79,17.06,32.58,33.87,37.23,38.98,11.26,14.46,10.73,-26.59,-18.1,-38.95,-29.91,-13.29,14.61,32.89,6.06,7.69,7.73,-5.45,0.0,-7.62,8.72,8.9,10.48,19.59,5.66,-8.65,6.47,-1.72,2.63,7.46
6166 凌華 (上市電腦及週邊設備業),-66.67,-60.71,47.22,410.0,136.36,66.67,7.55,-21.57,-75.0,-42.22,-42.11,-97.5,138.46,-192.31,42.42,2200.0,551.61,541.67,-14.89,65.22,-85.15,-53.77,-15.0,-192.11,-236.67,-63.27,141.18,133.33,9.0,20.29,52.17,63.49,-24.77,-6.02,-31.43,-74.76,-47.56,-70.51,125.0,-57.69,30.23,230.43,-9.09,-64.47
3088 艾訊 (上櫃電腦及週邊設備業),-50.46,-85.61,170.37,39.05,53.96,3.25,-39.04,-43.84,-37.38,-41.73,-7.87,74.39,-58.96,113.51,21.95,3.5,61.82,34.81,115.0,-8.78,169.66,5.16,-28.84,7.41,-32.08,-1.79,47.06,53.41,30.11,28.28,35.29,-16.3,-19.83,49.61,50.0,19.47,0.0,-39.47,-21.01,-74.07,895.88,0.87,200.0,6.03
6579 研揚 (上市電腦及週邊設備業),2.99,37.85,-50.72,-15.63,-81.02,8.82,152.94,-115.28,287.5,-10.81,-37.79,203.03,-91.24,33.33,163.55,255.88,1336.84,278.41,-2.13,137.19,1.47,-29.43,-83.7,25.78,-28.88,-97.87,422.22,,,,,,,,,,,,,,-15.08,-15.07,201.18,-45.16
