公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,2.34,1.21,1.06,0.85,1.06,0.24,0.75,0.79,0.56,0.11,0.31,0.35,0.44,0.68,0.48,0.85,1.42,1.02,0.37,1.04,1.44,0.47,0.34,0.99,0.89,2.06,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),0.21,0.22,0.13,0.92,0.49,0.11,0.6,0.06,0.44,0.11,0.13,0.31,0.33,0.51,1.54,1.53,2.22,3.4,2.19,1.87,1.69,1.91,-0.25,1.37,1.17,0.62,0.9,0.74,0.55,0.87,0.79,0.92,1.23,0.88,1.15,1.45,0.59,1.4,1.13,1.53,1.81,1.33,0.77,0.64,0.54,1.22,0.31,1.9
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,4.3,,3.85,1.4,0.99,1.78,0.33,2.25,1.97,1.59,1.76,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-1.08,0.44,0.22,0.25,0.39,0.14,-0.06,-0.46,0.27,0.33,0.02,-0.12,0.13,0.0,0.29,0.18,0.24,0.64,0.42,0.38,0.55,0.37,0.0,0.19,0.41,0.12,0.64,0.14,0.77,0.26,0.42,0.3,0.53,0.35,0.89,-0.3,0.27,0.15,0.66,0.01,0.1,-0.46,0.58,-1.15,0.68,4.06,-0.62,0.37
2397 友通 (上市電腦及週邊設備業),0.68,1.63,1.14,1.4,1.72,1.35,1.03,1.27,0.67,0.93,0.68,0.58,0.55,0.62,3.63,0.73,1.01,1.69,1.18,1.1,0.85,0.47,0.74,0.45,0.64,0.8,1.57,0.5,0.61,0.58,0.52,0.66,0.65,0.75,0.9,0.64,0.79,1.05,0.65,1.3,1.19,1.03,1.07,0.68,1.1,1.19,1.14,1.38
8234 新漢 (上櫃電腦及週邊設備業),0.33,0.31,0.54,0.34,0.5,0.31,0.46,0.12,0.24,0.28,0.42,-0.24,0.09,0.56,0.6,0.66,0.7,4.61,0.42,0.92,0.09,0.6,-0.34,-0.14,0.08,0.18,0.49,0.55,0.47,0.08,0.41,0.55,0.74,1.93,0.42,0.02,0.31,0.51,0.56,0.31,0.41,0.25,0.64,-0.31,0.62,0.35,0.13,0.22
2395 研華 (上市電腦及週邊設備業),2.35,2.27,2.34,2.31,2.71,3.06,2.43,1.85,3.29,2.52,2.21,2.48,2.31,2.95,2.93,3.32,3.17,4.1,3.26,3.8,3.51,3.01,2.67,2.32,2.46,2.61,3.06,1.52,1.98,1.95,1.81,2.02,2.1,2.1,1.95,1.91,2.1,1.94,2.12,2.08,2.32,2.32,2.24,1.9,2.47,2.28,1.95,2.45
6166 凌華 (上市電腦及週邊設備業),0.36,0.22,0.53,0.51,0.52,0.45,0.57,0.4,0.13,0.26,0.33,0.01,0.31,-0.24,0.47,0.23,2.02,1.06,0.4,0.38,0.3,0.49,0.34,-0.35,-0.41,0.18,0.82,0.27,1.0,0.69,0.46,0.63,1.09,0.83,0.7,1.03,0.82,0.78,0.48,0.26,0.43,0.23,1.08,0.11,0.56,0.76,0.1,0.27
3088 艾訊 (上櫃電腦及週邊設備業),0.54,1.39,1.46,1.46,2.14,1.27,0.89,0.82,1.34,0.74,0.82,1.43,0.55,1.58,1.0,1.48,0.89,2.13,2.15,1.35,2.4,2.24,1.53,1.45,1.63,2.2,2.25,0.88,0.93,0.99,0.68,1.35,1.21,1.27,0.92,1.13,0.97,1.9,1.38,1.35,0.97,1.15,1.09,0.35,9.66,1.16,1.05,1.23
6579 研揚 (上市電腦及週邊設備業),1.38,2.95,0.68,2.16,0.56,0.74,1.72,-0.33,2.17,0.66,1.07,0.34,0.19,0.88,2.82,1.21,2.73,3.33,2.76,2.87,2.77,2.35,0.45,3.61,1.97,0.05,2.35,,,,,,,,,,,,,,2.52,1.46,1.34,0.85,2.14,1.24,2.56,0.68
