公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,,,,-53.66,,-48.53,-13.08,31.3,-0.61,7.91,-28.94,-21.91,-9.53,20.87,19.23,22.51,49.43,59.3,39.0,31.48,26.57,-13.05,-4.8,31.04,12.32,19.07,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-24.04,-22.17,-17.1,16.76,8.1,-24.99,1.79,-0.04,-24.62,-27.45,-26.76,-28.14,30.24,66.59,98.98,121.28,96.99,115.02,48.66,13.32,-18.97,-40.38,-40.04,-46.73,-5.53,4.02,-7.67,23.48,68.51,17.83,29.05,44.86,-9.84,24.21,8.87,10.57,61.64,27.73,9.59,-16.79,-44.66,0.09,-35.54,-33.36
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,,,,,-59.66,,-59.08,36.26,61.41,19.85,38.62,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-53.44,-24.85,19.62,60.8,-0.43,-9.82,7.77,-30.03,-5.63,-10.63,-11.69,-3.23,-5.08,-24.18,20.21,13.02,6.87,68.78,38.34,62.13,16.4,-19.21,-21.77,-43.72,-31.7,-4.77,42.19,20.97,13.97,1.87,30.88,-9.33,8.2,-12.01,10.35,42.48,-8.65,16.48,17.3,-23.89,13.66,-33.45,-37.56,57.85
2397 友通 (上市電腦及週邊設備業),-0.32,38.73,36.14,19.45,24.9,26.23,47.39,43.4,-10.44,5.7,-6.92,-17.17,41.57,30.99,29.96,42.63,14.33,30.34,34.92,18.53,0.26,-20.28,-87.85,-37.08,-24.54,-2.22,697.26,36.04,22.56,6.33,24.81,15.17,12.11,19.4,7.18,54.7,27.8,24.13,12.48,-18.93,-2.85,3.68,19.19,21.81
8234 新漢 (上櫃電腦及週邊設備業),-11.44,-7.42,9.56,37.41,37.54,11.69,18.85,-6.8,-8.21,-6.41,-16.38,-18.45,-14.7,8.0,7.91,49.99,40.65,18.9,15.92,17.02,-18.3,-23.24,-46.72,-50.09,-28.89,-4.1,23.55,13.32,30.43,54.18,21.65,1.63,4.03,-12.78,20.47,9.04,-0.21,19.21,12.63,-3.88,-6.85,-0.63,-14.02,4.2
2395 研華 (上市電腦及週邊設備業),4.79,8.9,4.7,8.89,12.89,19.68,10.38,-6.96,6.57,-8.86,-4.28,18.51,-9.51,9.89,18.98,18.21,24.57,18.82,11.29,12.24,7.92,-11.25,-6.84,-19.73,-15.44,2.61,8.1,22.17,16.35,12.99,7.47,6.27,7.08,3.6,9.44,15.21,8.21,15.42,8.0,-2.07,2.17,1.08,7.08,8.91
6166 凌華 (上市電腦及週邊設備業),-22.82,-9.22,11.93,30.42,13.57,8.02,10.77,-7.75,-18.76,-5.94,-11.36,-10.86,-6.21,-12.73,1.57,-1.47,36.17,40.38,8.82,25.75,-1.89,-10.94,-12.76,-27.03,-13.11,-5.26,9.83,32.54,25.3,22.16,30.15,33.73,1.95,8.66,7.52,-3.93,5.33,5.84,39.36,-2.26,1.61,9.07,-11.52,-14.39
3088 艾訊 (上櫃電腦及週邊設備業),-24.59,39.09,37.72,0.45,2.02,6.61,-2.3,-4.66,-9.6,-12.0,-6.89,-0.46,-7.46,33.5,13.35,38.48,28.35,15.19,45.44,4.85,38.66,6.28,-11.19,4.85,-10.41,12.02,17.84,28.58,27.13,8.11,10.1,3.18,-5.16,22.48,28.97,16.3,4.01,-0.01,-8.9,-17.95,-21.49,-24.51,-2.33,20.45
6579 研揚 (上市電腦及週邊設備業),-21.03,-8.93,16.38,31.98,26.34,-8.04,17.8,-7.56,-2.68,-5.25,-10.23,-17.49,-28.73,1.06,30.35,47.44,100.68,41.41,23.51,12.54,-3.72,18.14,-9.39,-1.55,-1.44,-22.65,-8.92,,,,,,,,,,,,,,-47.28,-14.11,-8.16,27.41
3479 安勤 (上櫃電腦及週邊設備業),14.21,4.49,6.76,8.45,41.3,50.45,62.21,24.8,-32.04,-41.15,-55.4,-30.41,-5.22,6.37,36.6,54.43,71.93,57.96,65.58,43.98,13.15,31.24,-13.19,-28.91,0.35,-9.49,2.16,-1.59,5.71,-3.92,27.99,23.14,5.56,40.46,36.82,44.41,63.02,-2.05,-18.13,-23.65,-26.21,12.72,1.47,-14.08
6414 樺漢 (上市電腦及週邊設備業),306.82,375.05,70.95,29.97,23.97,18.45,21.56,20.03,10.37,-6.38,-0.72,4.23,10.55,8.69,-3.44,7.36,6.37,17.25,-43.67,8.01,4.69,2.57,101.57,19.41,18.82,26.35,,,13.25,27.09,125.45,190.77,127.6,117.75,72.49,50.66,70.12,48.31,10.39,1.08,-8.7,377.92,344.31,17.1
