公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,62471.0,58587.0,34235.0,28950.0,36254.0,30157.0,29756.0,38010.0,36032.0,32541.0,21144.0,29681.0,32599.0,39331.0,25209.0,36361.0,48712.0,62653.0,35041.0,47808.0,61656.0,54475.0,33360.0,62647.0,69251.0,64865.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),295379.0,214272.0,244870.0,252249.0,231619.0,217446.0,249241.0,252151.0,174593.0,157747.0,182545.0,181198.0,227392.0,262794.0,363230.0,400957.0,447946.0,565071.0,539989.0,454379.0,362986.0,336869.0,323758.0,242059.0,342908.0,350410.0,298921.0,203641.0,202544.0,232465.0,252556.0,251464.0,341308.0,273912.0,325912.0,364260.0,307733.0,340235.0,354833.0,402745.0,497431.0,434597.0,388874.0,335141.0,275297.0,434997.0,216036.0,289896.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,241198.0,,294766.0,111547.0,97299.0,126052.0,120605.0,151993.0,157053.0,151070.0,167183.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),98693.0,127854.0,118054.0,117337.0,127308.0,122839.0,127228.0,82104.0,120142.0,109780.0,112350.0,79455.0,114039.0,83233.0,135054.0,89803.0,121879.0,140477.0,186838.0,145600.0,141864.0,113488.0,146155.0,81947.0,96899.0,108073.0,207825.0,98247.0,132873.0,124202.0,125118.0,118848.0,151442.0,126525.0,163751.0,107760.0,163858.0,111325.0,180693.0,153540.0,149679.0,129672.0,211955.0,116862.0,170129.0,86298.0,72971.0,136219.0
2397 友通 (上市電腦及週邊設備業),272666.0,429200.0,371196.0,415904.0,536080.0,495080.0,547108.0,596404.0,480139.0,523286.0,509270.0,493997.0,679713.0,685453.0,661834.0,704579.0,777118.0,893405.0,892925.0,835128.0,779164.0,712242.0,108479.0,525455.0,587954.0,696444.0,864861.0,148689.0,181337.0,197053.0,181802.0,202270.0,222254.0,209530.0,226898.0,232947.0,249175.0,250181.0,243183.0,360370.0,318458.0,310547.0,273532.0,292147.0,309386.0,321976.0,348197.0,392198.0
8234 新漢 (上櫃電腦及週邊設備業),413650.0,316579.0,453208.0,383163.0,435431.0,441771.0,538644.0,357117.0,399691.0,413440.0,450415.0,291229.0,340933.0,446520.0,486031.0,436817.0,479530.0,530924.0,563411.0,511172.0,391796.0,407525.0,300188.0,255142.0,278593.0,390824.0,370887.0,268709.0,271111.0,238282.0,282987.0,304489.0,353610.0,367385.0,344250.0,309464.0,367851.0,320425.0,414712.0,337435.0,367081.0,381994.0,467090.0,324330.0,341949.0,379570.0,278855.0,395526.0
2395 研華 (上市電腦及週邊設備業),4558159.0,4792472.0,4772399.0,4724054.0,5410376.0,5697040.0,5267892.0,4395235.0,5765885.0,5192483.0,5042658.0,5208637.0,5217379.0,5706029.0,5999531.0,6157211.0,6499399.0,6779637.0,6676856.0,6910980.0,7014301.0,6016645.0,6219888.0,5547678.0,5931057.0,6173487.0,6723665.0,2765949.0,3194965.0,3200309.0,3424408.0,3379025.0,3717307.0,3616125.0,3680207.0,3590779.0,3980463.0,3746307.0,4027441.0,4136865.0,4307099.0,4323890.0,4349695.0,4051338.0,4400710.0,4370751.0,4338231.0,4760346.0
6166 凌華 (上市電腦及週邊設備業),967325.0,928216.0,1082703.0,1057934.0,1054201.0,977335.0,1199325.0,975940.0,856428.0,919242.0,1063036.0,869975.0,803255.0,802213.0,1079719.0,857143.0,1093776.0,1126151.0,1174936.0,1077873.0,1073150.0,1002956.0,1025030.0,786572.0,932409.0,950181.0,1125802.0,550824.0,747890.0,689663.0,642652.0,730071.0,937129.0,842496.0,836413.0,976335.0,955357.0,915494.0,899328.0,937987.0,1006281.0,968949.0,1253268.0,916829.0,1022497.0,1056819.0,811200.0,904748.0
3088 艾訊 (上櫃電腦及週邊設備業),323626.0,440423.0,445695.0,374147.0,449332.0,434530.0,435439.0,356723.0,406183.0,382370.0,405458.0,355094.0,375879.0,510458.0,459601.0,491727.0,482430.0,587975.0,668466.0,515577.0,668941.0,624884.0,593671.0,540602.0,599332.0,700018.0,699575.0,301192.0,321630.0,338551.0,331735.0,387277.0,408873.0,366023.0,365256.0,399601.0,387759.0,448298.0,471057.0,464753.0,403300.0,448252.0,429141.0,381345.0,316644.0,338387.0,372456.0,407576.0
6579 研揚 (上市電腦及週邊設備業),406093.0,431040.0,472609.0,491945.0,544585.0,470668.0,556724.0,454743.0,529979.0,445961.0,499770.0,375202.0,377736.0,450673.0,651440.0,553187.0,758055.0,637316.0,804577.0,622544.0,729876.0,752926.0,729028.0,612900.0,719384.0,582369.0,663979.0,,,,,,,,,,,,,,897853.0,467712.0,514240.0,405858.0,473320.0,401721.0,372740.0,511842.0
