公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,65.22,88.24,75.0,103.45,78.95,87.38,72.58,73.77,84.11,62.5,108.43,145.16,123.29,128.57,230.77,219.51,169.81,169.81,219.51,160.71,116.88,100.0,145.16,96.77,91.84,90.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),125.0,155.17,152.54,160.71,163.64,180.0,132.35,155.17,176.47,157.89,126.76,169.81,89.11,138.46,183.67,163.64,187.5,157.89,152.54,173.08,157.89,142.86,155.17,219.51,169.81,152.54,142.86,120.0,121.62,115.38,109.76,115.38,88.24,103.45,113.92,109.76,115.38,125.0,118.42,113.92,103.45,103.45,115.38,138.46,142.86,111.11,152.54,147.54
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,180.0,,151.26,145.16,150.0,166.67,138.46,116.88,138.46,166.67,147.54,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),138.46,180.0,200.0,250.0,204.55,180.0,150.0,230.77,157.89,195.65,173.08,230.77,187.5,209.3,191.49,250.0,204.55,200.0,155.17,264.71,209.3,204.55,155.17,250.0,173.08,187.5,264.71,195.65,147.54,163.64,140.63,176.47,147.54,195.65,147.54,257.14,243.24,264.71,169.81,225.0,250.0,281.25,195.65,310.34,257.14,187.5,209.3,200.0
2397 友通 (上市電腦及週邊設備業),103.45,78.95,92.78,90.0,78.95,81.08,72.58,97.83,97.83,100.0,90.0,92.78,78.26,90.91,87.38,109.76,118.42,113.92,103.45,111.11,101.12,88.24,-92.78,118.42,97.83,92.78,89.11,105.88,88.24,80.36,109.76,98.9,107.14,104.65,97.83,95.74,79.65,88.24,76.27,61.22,52.94,55.56,53.57,52.33,47.87,60.0,89.11,79.65
8234 新漢 (上櫃電腦及週邊設備業),113.92,116.88,109.76,150.0,121.62,140.63,115.38,140.63,130.43,128.57,102.27,132.35,140.63,152.54,147.54,200.0,176.47,152.54,132.35,183.67,180.0,180.0,173.08,160.71,160.71,128.57,115.38,84.11,75.0,79.65,65.22,64.29,74.38,81.08,78.26,89.11,91.84,95.74,80.36,100.0,92.78,88.24,85.71,109.76,107.14,104.65,123.29,113.92
2395 研華 (上市電腦及週邊設備業),80.36,80.36,90.0,93.75,87.38,85.71,86.54,109.76,102.27,104.65,94.74,94.74,97.83,107.14,115.38,126.76,134.33,115.38,123.29,116.88,112.5,112.5,104.65,104.65,97.83,97.83,95.74,96.77,77.59,73.17,74.38,80.36,73.77,76.27,77.59,83.33,71.43,77.59,78.95,76.27,72.0,76.27,75.63,85.71,75.63,82.57,84.11,87.38
6166 凌華 (上市電腦及週邊設備業),126.76,136.36,128.57,145.16,150.0,155.17,118.42,121.62,147.54,145.16,111.11,142.86,155.17,200.0,173.08,204.55,225.0,204.55,173.08,200.0,195.65,209.3,166.67,225.0,169.81,169.81,123.29,134.33,101.12,111.11,115.38,120.0,100.0,125.0,118.42,126.76,120.0,123.29,130.43,140.63,120.0,126.76,102.27,121.62,120.0,128.57,150.0,160.71
3088 艾訊 (上櫃電腦及週邊設備業),100.0,81.08,90.91,116.88,118.42,121.62,107.14,115.38,134.33,126.76,105.88,132.35,152.54,126.76,134.33,150.0,155.17,163.64,157.89,173.08,160.71,176.47,160.71,173.08,150.0,128.57,116.88,109.76,118.42,96.77,93.75,94.74,101.12,100.0,101.12,96.77,116.88,105.88,95.74,100.0,112.5,93.75,92.78,109.76,111.11,90.91,94.74,89.11
6579 研揚 (上市電腦及週邊設備業),91.84,84.11,85.71,79.65,74.38,79.65,80.36,88.24,78.95,84.91,89.11,87.38,91.84,108.43,91.84,111.11,140.63,145.16,138.46,136.36,126.76,121.62,109.76,109.76,103.45,108.43,116.88,,,,,,,,,,,,,,82.19,79.65,214.29,102.27,90.91,87.38,89.11,73.77
