公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),15.93,17.53,17.36,18.43,16.82,22.06,22.35,20.59,21.09,20.44,20.56,18.9,19.27,19.75,20.47,19.76,20.65,21.49,22.53,20.92,22.16,21.76,22.24,21.32,22.72,23.01,25.3,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),24.61,22.56,29.3,30.04,28.39,28.38,28.68,26.11,27.39,28.9,29.4,27.97,27.87,28.02,29.15,28.19,29.54,33.24,35.94,38.06,35.37,38.65,38.57,40.57,37.62,37.69,38.67,25.17,23.22,23.15,24.32,26.02,22.38,21.51,22.8,25.61,23.53,22.94,24.12,25.51,23.67,24.41,25.88,26.49,22.66,24.25,24.74,29.45
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,20.07,,20.88,,28.02,23.68,24.49,26.62,33.43,32.24,34.29,35.88,37.75,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),21.81,21.41,21.21,21.6,21.81,21.3,21.09,20.95,21.0,21.45,21.14,21.0,21.1,20.91,21.06,20.99,21.06,21.83,22.21,22.62,22.32,22.85,22.64,22.37,22.91,23.15,23.89,14.94,15.28,15.5,16.01,16.32,16.3,16.0,18.75,18.44,19.73,20.04,20.55,20.43,20.19,18.97,19.34,17.89,18.39,22.89,21.13,20.96
2397 友通 (上市電腦及週邊設備業),27.01,25.7,28.1,29.61,26.18,27.52,27.91,29.14,24.66,25.48,25.99,26.3,23.68,23.07,26.7,24.15,25.13,27.32,28.36,25.65,26.53,27.12,27.62,25.24,25.88,27.72,30.67,24.67,23.75,24.31,24.75,25.48,24.28,24.95,25.68,26.4,24.55,25.85,26.38,27.8,26.29,27.21,28.0,28.52,25.15,26.34,28.21,26.99
8234 新漢 (上櫃電腦及週邊設備業),16.7,16.62,17.33,17.75,17.61,17.94,18.28,18.36,17.81,18.09,18.53,18.21,18.25,17.97,18.63,19.4,19.12,23.84,24.37,25.19,22.42,23.39,22.69,22.78,21.75,21.79,22.46,16.81,16.79,14.69,15.13,15.71,15.88,16.94,17.42,17.44,15.74,16.34,16.92,17.22,16.41,16.64,17.27,16.9,16.03,16.39,17.07,16.78
2395 研華 (上市電腦及週邊設備業),39.56,37.68,41.94,44.74,40.82,43.56,46.02,40.18,43.32,42.0,44.56,40.61,42.75,45.53,48.88,45.41,48.06,52.92,56.32,50.43,54.83,53.8,56.45,49.84,53.14,56.17,59.55,33.47,29.84,31.47,33.97,36.58,33.54,32.48,35.47,36.86,32.91,35.08,36.89,39.22,35.29,37.61,39.83,41.45,38.46,37.31,41.92,39.92
6166 凌華 (上市電腦及週邊設備業),21.22,20.21,20.95,21.58,20.77,21.12,21.5,21.9,20.28,20.52,20.76,20.78,20.96,19.76,20.32,20.84,22.67,24.03,25.65,23.49,23.72,24.78,24.8,23.87,23.57,23.55,24.72,17.44,17.56,18.2,18.7,19.51,18.98,18.63,19.69,20.44,19.38,18.98,19.32,22.58,20.46,20.39,21.5,21.13,20.08,20.93,21.36,20.37
3088 艾訊 (上櫃電腦及週邊設備業),29.86,26.94,29.66,31.15,29.65,30.83,31.81,32.73,30.05,30.78,31.68,30.54,30.98,32.92,34.15,32.92,34.02,36.71,38.92,37.8,40.43,40.21,41.37,38.92,40.7,42.81,45.28,16.89,15.92,16.87,17.58,19.07,17.48,18.8,19.93,20.87,17.8,20.16,21.42,22.73,19.44,20.44,22.08,22.08,28.24,29.44,30.88,28.21
6579 研揚 (上市電腦及週邊設備業),39.22,40.04,53.13,54.63,50.95,51.39,52.53,52.13,50.83,51.85,52.8,53.11,50.2,50.82,52.95,54.12,52.96,55.59,57.92,60.28,59.78,62.2,62.41,65.55,60.69,57.72,59.6,,,,,,,,,,,,26.15,,25.87,27.14,31.46,32.0,29.42,37.88,41.78,52.79
