公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,17.85,13.21,15.53,16.26,16.35,6.19,14.84,13.23,10.32,1.98,7.98,7.49,7.39,10.22,10.05,13.64,16.65,11.5,6.24,13.94,15.87,5.8,6.84,11.46,10.39,26.24,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),4.44,3.56,2.57,11.74,7.07,1.31,6.43,1.53,4.9,-0.1,0.03,0.02,0.09,0.46,16.72,11.54,16.92,23.22,14.6,14.45,12.96,17.9,-3.06,18.65,11.84,5.58,6.17,9.56,7.25,11.12,9.27,11.11,10.96,9.75,12.56,12.99,5.67,16.23,12.1,14.97,15.97,13.3,10.19,7.63,7.07,13.26,4.37,22.23
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,15.65,,12.43,11.05,9.19,16.25,3.53,16.96,14.33,11.64,11.15,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-14.34,6.68,3.93,4.22,5.91,1.91,-1.06,-10.34,3.71,5.48,0.17,-3.02,2.49,-0.09,4.75,4.07,4.54,12.76,6.36,9.32,12.41,8.93,-0.04,6.54,10.69,2.91,14.83,2.23,9.58,3.4,5.51,3.58,5.58,3.74,10.17,-7.74,3.88,0.14,9.4,0.42,0.78,-8.09,10.66,-26.07,12.26,60.0,-13.3,5.66
2397 友通 (上市電腦及週邊設備業),9.56,13.06,10.43,11.19,11.44,10.31,4.41,7.04,4.61,6.3,5.13,4.84,4.06,3.08,10.42,2.84,3.82,4.89,3.12,3.3,2.64,0.91,-3.85,2.88,3.75,4.74,7.95,11.9,11.39,9.9,10.96,11.66,11.36,13.24,15.02,10.36,10.4,15.52,9.92,15.42,13.39,12.55,13.71,8.51,12.67,13.78,11.31,11.45
8234 新漢 (上櫃電腦及週邊設備業),2.72,2.8,3.54,2.5,3.38,2.54,3.25,0.82,2.7,2.57,4.64,-2.68,1.56,5.19,4.61,5.61,5.62,32.32,2.54,8.44,1.63,6.53,-5.25,-1.81,0.29,0.53,3.61,6.18,4.91,1.11,4.56,5.83,7.17,18.7,4.0,0.16,3.1,5.6,5.01,3.27,4.01,2.19,4.91,-3.0,5.73,2.95,1.13,1.76
2395 研華 (上市電腦及週邊設備業),13.81,12.61,13.27,13.19,13.66,15.0,12.63,11.36,16.68,14.98,13.53,14.66,12.78,14.75,14.46,15.93,14.64,17.06,14.75,16.99,17.65,17.04,15.01,14.18,14.4,15.05,15.69,13.08,14.42,13.94,12.4,14.19,13.03,14.54,13.5,13.73,13.29,13.1,13.87,13.07,13.71,14.15,13.23,12.05,15.1,14.26,12.05,13.86
6166 凌華 (上市電腦及週邊設備業),2.87,1.75,3.91,4.19,4.35,4.06,4.29,3.48,1.24,2.45,2.67,0.1,2.96,-2.25,3.35,1.96,15.73,7.56,2.58,2.55,1.79,3.62,2.42,-4.37,-4.01,1.24,5.67,3.35,9.45,6.97,4.97,6.51,8.89,7.46,6.18,8.71,6.88,6.74,4.47,2.76,3.95,2.15,8.13,1.03,4.47,5.74,0.96,2.3
3088 艾訊 (上櫃電腦及週邊設備業),4.54,7.93,9.13,10.5,14.25,8.63,5.73,5.99,9.81,5.3,5.64,12.34,4.17,8.78,6.18,9.0,5.03,11.2,10.78,7.85,11.95,13.76,9.59,10.5,10.03,11.91,11.9,8.7,8.81,7.69,5.7,9.94,8.64,9.62,7.09,8.08,7.71,12.61,8.18,8.61,7.55,7.95,7.64,2.89,79.91,8.84,7.27,8.08
6579 研揚 (上市電腦及週邊設備業),12.92,24.97,5.4,16.68,6.7,6.73,13.2,-2.49,16.19,6.05,10.6,3.43,2.11,6.51,16.03,7.68,14.8,18.64,14.86,17.5,17.77,16.74,5.87,26.45,14.71,2.23,19.74,,,,,,,,,,,,,,9.21,10.07,12.07,6.81,15.4,10.32,21.65,7.5
3479 安勤 (上櫃電腦及週邊設備業),5.61,5.69,5.94,5.55,7.82,9.99,8.39,6.93,3.14,5.44,5.49,2.19,3.36,5.52,7.77,7.03,7.96,7.87,8.76,9.74,7.51,9.44,6.98,6.6,7.38,7.74,8.46,6.45,5.35,6.41,4.01,4.89,4.75,5.21,5.36,5.52,4.85,9.45,6.84,7.23,7.79,6.23,3.98,2.8,4.09,8.16,4.54,4.74
6414 樺漢 (上市電腦及週邊設備業),5.52,3.73,4.31,2.68,3.63,4.03,4.25,2.97,3.99,3.55,4.28,2.69,3.35,3.73,3.89,3.15,4.07,4.4,27.79,4.12,5.4,5.17,3.26,4.12,3.36,4.52,,,13.81,10.73,13.19,11.73,12.73,11.11,11.17,8.72,9.34,11.46,9.29,10.79,10.64,9.07,8.22,6.19,8.17,4.65,4.24,4.25
6570 維田 (上櫃電腦及週邊設備業),3.82,6.45,14.06,12.44,11.8,7.24,10.5,6.31,11.66,4.29,0.51,10.06,11.09,13.98,13.19,10.98,12.35,21.66,12.63,12.16,14.8,14.68,2.73,8.68,4.09,7.55,6.44,,,,,,,,,,3.45,,11.3,,6.81,,8.02,,4.87,7.98,4.67,7.32
6245 立端 (上櫃通信網路業),8.12,6.19,7.92,6.4,6.48,8.04,7.97,5.06,12.37,8.89,7.46,6.48,5.23,6.08,10.15,6.17,9.91,13.3,10.27,11.56,13.15,12.98,9.66,12.58,11.28,11.25,12.68,8.26,7.52,7.07,7.72,7.23,3.01,6.45,9.95,5.43,2.44,9.1,6.84,4.84,5.52,7.61,8.54,4.32,4.2,7.16,3.68,6.96
通信網路業,9.04,35.37,-48.98,-44.39,-3.03,-6.33,-7.83,-27.12,-4.18,-11.84,-0.48,-5.84,-20.33,-8.76,50.05,-4.6,1.49,2.46,-1.89,0.13,-0.7,-3.1,-16.06,-11.89,-3.86,-5.1,-1.08,2.36,4.73,2.83,1.82,2.62,3.57,4.06,3.08,-4.75,-29.48,43.29,-5.92,0.48,-6.5,-400.0,-9.91,-24.62,17.16,24.58,-17.37,-106.27
3416 融程電 (上市電腦及週邊設備業),11.24,11.94,16.31,14.3,15.45,14.67,13.41,15.0,15.51,13.69,12.29,14.0,15.73,16.41,11.98,14.69,15.36,21.31,15.71,17.6,21.72,23.34,14.5,18.99,18.06,20.31,15.14,15.33,15.41,14.29,14.61,13.86,13.62,18.37,15.24,13.55,12.53,17.19,13.19,14.32,16.59,12.35,11.57,8.62,8.78,9.17,11.14,12.66
電腦及週邊設備業,2.78,3.25,2.98,2.02,1.76,4.45,1.97,-1.67,4.27,4.53,3.02,4.39,4.58,4.71,6.22,4.23,4.77,7.56,-0.7,1.21,3.83,4.4,-3.7,5.08,7.62,2.26,-14.58,3.53,4.89,2.44,2.85,3.46,1.92,5.65,5.51,2.55,1.31,5.78,3.59,3.12,3.19,3.91,6.58,0.0,3.44,8.13,1.6,2.89
