公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,38.73,19.6,11.57,9.12,18.64,-25.87,21.61,6.53,9.65,1.1,4.65,-10.57,-14.35,10.43,-16.64,0.42,19.15,13.02,-1.27,26.95,24.65,23.71,-2.57,16.7,16.79,-0.56,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),26.87,1.4,5.67,2.48,2.97,9.48,-5.56,9.91,-22.16,-16.53,-4.06,-4.14,-15.04,8.65,17.87,-6.86,0.24,9.27,17.92,2.91,17.8,17.26,5.51,6.2,1.73,-3.33,0.44,27.82,6.49,8.99,21.03,23.43,1.3,-3.47,6.17,14.24,0.77,18.83,23.61,6.78,16.53,8.39,24.68,-7.8,2.28,-12.62,-7.66,-5.31
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,10.66,,63.25,3.41,24.1,15.22,-41.15,13.81,42.05,-26.58,0.1,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),8.54,11.16,-5.76,-5.44,-0.13,12.45,5.16,-1.39,-10.37,6.01,4.58,-6.79,-3.47,-15.7,1.39,9.93,-1.24,10.49,6.04,7.02,6.92,13.0,3.19,19.6,-2.79,-3.15,1.86,-3.87,3.56,-23.15,15.01,6.8,1.27,-12.52,-22.18,-33.0,-19.37,-5.96,0.69,0.11,-1.54,1.74,-4.63,-2.48,-8.58,-1.18,-3.84,1.39
2397 友通 (上市電腦及週邊設備業),-5.84,0.45,15.33,29.61,15.96,24.46,16.26,2.56,2.51,-2.17,14.59,3.57,-11.45,-4.99,-7.22,-3.47,-2.78,11.04,7.63,10.39,8.71,8.26,10.02,5.77,8.27,5.01,6.06,-35.42,-4.84,15.44,1.64,2.22,-6.65,77.53,46.5,54.75,-20.81,79.72,22.84,8.05,5.01,41.41,-6.69,10.48,-6.23,57.75,-0.14,73.29
8234 新漢 (上櫃電腦及週邊設備業),2.0,3.1,-4.08,2.63,4.0,3.63,0.84,9.38,-0.14,6.55,10.4,-0.89,1.51,-9.81,-3.64,-3.1,2.5,3.39,6.25,7.77,3.46,9.1,16.86,5.69,-2.61,-3.94,4.35,8.17,5.13,3.33,8.13,8.82,-3.85,-11.29,10.0,6.04,-4.9,8.65,2.59,8.56,-1.04,-1.09,-9.96,5.79,-1.1,0.0,4.36,-5.19
2395 研華 (上市電腦及週邊設備業),-4.28,4.63,14.7,8.34,-0.78,35.94,9.18,-1.45,6.11,56.04,5.69,5.58,2.85,32.23,15.53,-4.64,7.04,33.49,17.88,-4.11,8.32,52.49,2.6,2.16,4.13,52.62,11.64,12.99,13.84,19.45,24.0,8.5,11.75,13.83,25.33,17.84,12.2,12.24,21.84,19.44,9.96,22.27,25.37,-4.55,12.17,20.33,3.07,37.46
6166 凌華 (上市電腦及週邊設備業),-4.86,-0.49,1.45,6.86,4.93,11.81,19.16,22.46,-12.74,1.11,8.09,6.37,-5.2,-9.23,-10.37,-1.62,-1.38,9.39,13.3,5.09,2.73,-2.36,5.77,3.48,6.23,4.4,12.03,8.95,1.67,11.6,12.63,10.8,0.27,3.23,5.24,18.08,0.49,0.72,7.94,14.5,-6.36,11.83,3.13,10.63,3.83,0.85,-0.06,4.02
3088 艾訊 (上櫃電腦及週邊設備業),18.23,10.93,21.55,-8.31,6.35,4.76,6.19,-3.29,9.22,10.69,30.27,-22.68,-5.59,14.37,31.69,-23.77,5.93,5.88,21.75,-4.44,3.37,41.12,23.53,12.3,4.37,17.9,30.44,-0.24,10.26,-7.9,16.2,15.03,7.69,7.47,4.16,24.58,1.85,12.4,24.66,3.97,10.75,27.96,8.87,6.06,-12.59,22.73,-4.57,9.87
6579 研揚 (上市電腦及週邊設備業),17.14,-4.26,3.51,19.38,9.35,18.55,1.33,10.58,-3.42,20.29,38.54,16.2,-17.5,-11.29,-6.34,11.1,-0.7,23.08,12.32,39.91,13.74,43.79,13.29,36.71,8.73,-13.34,20.27,,,,,,,,,,,,,,16.83,15.94,26.07,-5.99,9.91,25.33,-6.31,28.05
3479 安勤 (上櫃電腦及週邊設備業),-0.57,6.46,-13.77,28.48,16.0,11.53,3.79,14.99,1.74,-1.67,13.21,3.57,-0.92,0.16,-24.5,-2.63,5.34,2.18,10.27,16.51,20.1,14.19,-9.05,37.33,5.4,8.25,-7.51,11.17,1.26,28.62,-14.13,2.19,8.74,0.72,-33.88,15.14,-7.92,25.67,3.89,2.25,28.67,50.27,-45.49,9.51,0.39,20.44,22.03,9.91
6414 樺漢 (上市電腦及週邊設備業),17.66,-0.32,8.64,0.41,-4.95,6.67,10.49,-0.13,0.47,2.3,9.94,-2.05,-1.23,-2.52,9.2,-7.48,4.83,-7.24,7.87,4.35,-2.84,-1.42,11.81,-0.73,5.74,2.91,,,36.95,-11.52,32.75,-23.39,-19.38,3.43,14.53,30.55,16.33,14.79,7.22,5.28,5.11,-9.42,9.55,11.43,-2.74,-0.48,-3.82,1.1
6570 維田 (上櫃電腦及週邊設備業),19.57,7.91,19.48,19.46,8.72,-1.93,20.27,20.62,10.59,6.25,1.59,-1.24,6.64,13.23,11.12,3.24,2.28,20.47,58.98,-1.97,20.58,26.0,24.22,-1.42,20.73,18.39,19.57,,,,,,,,,,3.37,,45.47,,14.32,,53.77,,-6.02,-3.53,9.7,22.97
6245 立端 (上櫃通信網路業),18.17,3.19,12.82,1.26,2.86,6.41,18.04,3.78,-15.81,27.58,3.58,-11.24,-0.28,-9.7,25.9,-19.35,0.52,21.69,28.09,16.35,9.85,17.52,15.8,7.49,0.52,0.1,11.39,6.83,2.67,-3.74,-4.14,25.44,-4.08,-1.05,16.46,7.3,6.0,7.58,-0.74,7.13,3.64,14.68,16.58,-10.66,-6.75,13.2,-10.63,14.18
通信網路業,12.74,7.13,9.77,10.5,7.83,14.41,15.82,8.35,5.06,10.58,15.79,5.72,6.77,9.48,10.89,5.39,6.05,11.55,14.73,8.12,10.53,14.12,12.45,11.65,6.84,11.11,14.26,4.08,5.38,11.2,15.4,3.52,8.98,10.27,13.83,6.03,7.3,10.23,11.59,8.33,7.55,8.9,17.25,7.73,5.84,9.66,7.09,10.89
3416 融程電 (上市電腦及週邊設備業),38.55,13.87,3.58,31.33,12.34,27.65,-26.44,24.93,1.91,27.9,21.61,-11.04,7.23,21.56,33.07,-22.47,11.19,17.35,17.71,6.36,11.53,34.16,23.55,3.98,8.28,49.31,22.91,29.27,10.88,11.98,30.1,-9.69,9.48,-15.88,28.5,34.74,5.17,56.8,7.0,68.13,-11.78,79.76,54.25,-27.78,12.91,11.99,-23.32,18.62
電腦及週邊設備業,2.48,-2.18,1.93,1.59,2.57,2.86,7.16,2.07,-2.84,4.98,4.44,-0.54,-1.5,3.41,0.86,-2.46,-1.07,7.28,7.13,4.88,2.9,5.18,7.85,1.5,-1.3,0.22,3.36,1.41,4.41,2.37,3.66,3.72,1.0,1.21,3.21,0.15,0.97,0.89,5.21,6.9,0.43,4.35,5.74,0.02,-0.61,0.28,0.47,0.68
