公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,142.8,81.77,74.91,83.85,98.05,-388.67,242.41,77.44,93.12,52.12,121.83,-253.38,-216.45,129.08,-430.51,6.4,172.3,140.38,-40.74,308.15,177.56,424.93,-67.91,228.97,212.9,-2.37,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),707.49,89.78,378.46,38.41,94.25,1813.59,-169.8,865.01,-622.35,17515.25,-10833.33,-51291.08,-15194.12,3191.27,255.38,-129.04,3.24,62.64,131.33,21.44,224.07,126.55,-363.32,82.13,37.65,-101.43,12.08,282.01,96.49,71.33,180.15,180.11,11.69,-47.15,64.14,86.49,14.36,114.28,175.79,45.99,112.94,63.13,272.76,-115.83,64.23,-125.57,-292.58,-43.42
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,41.49,,188.75,35.86,382.41,76.95,-934.67,91.72,395.13,-241.46,0.75,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-122.0,315.15,-356.14,-364.37,-6.05,1435.21,-1126.59,40.04,-698.76,282.8,6135.38,606.83,-292.39,45091.1,63.99,611.29,-54.98,171.95,174.98,217.62,147.97,387.64,-16496.1,1105.08,-54.58,-247.26,34.35,-317.0,47.45,-909.66,363.72,334.95,31.85,-646.1,-200.94,716.55,-607.68,-7143.15,13.78,66.97,-562.15,-78.24,-87.24,33.8,-182.17,-5.22,85.94,60.59
2397 友通 (上市電腦及週邊設備業),-72.76,4.72,163.88,249.96,173.39,218.89,497.87,50.2,88.6,-48.08,376.66,107.59,-405.09,-253.99,-75.04,-198.21,-108.53,302.0,292.39,406.08,399.95,1046.33,326.35,323.44,336.43,193.45,107.82,-267.95,-50.51,91.12,13.09,14.3,-55.99,400.34,238.32,446.34,-210.03,299.51,175.53,43.96,43.74,256.43,-43.27,107.42,-68.82,397.5,-1.17,557.62
8234 新漢 (上櫃電腦及週邊設備業),123.6,210.35,-218.35,237.94,241.97,327.28,48.99,2695.86,-11.32,557.87,415.51,81.03,251.28,-445.87,-174.8,-150.8,108.72,23.53,544.49,213.85,558.93,363.18,-822.98,-733.93,-2327.16,-1422.54,239.39,135.78,121.22,379.75,202.75,168.27,-65.94,-64.86,290.55,4798.49,-221.68,205.2,61.37,372.68,-36.87,-73.39,-278.51,-330.27,-35.09,-0.15,730.76,-607.72
2395 研華 (上市電腦及週邊設備業),-29.13,48.97,108.84,64.58,-7.33,195.12,63.31,-19.91,48.25,333.32,39.8,54.08,32.53,215.79,112.59,-40.34,66.11,183.68,130.37,-34.53,62.47,328.07,18.37,25.83,43.75,323.02,70.78,90.53,111.79,113.27,171.63,53.31,103.28,79.68,160.42,114.89,111.35,82.16,149.31,134.35,89.28,137.93,202.95,-34.91,100.09,136.5,24.84,263.77
6166 凌華 (上市電腦及週邊設備業),-189.13,-40.92,41.86,227.7,167.97,423.92,550.15,931.54,-1848.39,73.36,418.7,11859.38,-369.58,1095.45,-606.66,-173.97,-16.28,220.17,685.82,385.01,261.64,-113.44,367.23,-171.73,-275.53,638.51,312.17,387.54,23.73,235.02,326.91,234.72,4.06,61.46,109.53,305.24,11.32,15.47,295.2,778.41,-245.86,756.54,42.21,1525.57,130.28,20.66,-8.37,230.52
3088 艾訊 (上櫃電腦及週邊設備業),520.21,188.53,296.47,-108.05,60.16,70.77,81.36,-48.12,103.18,208.53,490.34,-256.3,-199.07,154.76,658.14,-347.34,159.79,64.95,230.58,-85.18,34.58,259.93,218.9,146.66,49.68,132.67,170.63,-2.13,126.26,-68.05,183.42,109.6,74.18,54.78,42.24,208.18,25.72,73.21,216.87,26.7,144.45,250.14,92.96,149.35,-15.2,165.77,-69.58,157.87
6579 研揚 (上市電腦及週邊設備業),107.39,-21.72,56.88,108.67,177.72,262.41,7.9,-386.83,-23.48,247.39,280.49,464.47,-1126.25,-158.48,-28.39,133.11,-4.97,108.75,60.98,191.5,98.42,241.86,189.64,159.21,100.86,-651.14,97.91,,,,,,,,,,,,,,89.64,116.36,212.27,-72.31,62.72,167.21,-20.69,320.87
