公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,,,,-58.79,,-44.51,-31.3,75.74,-11.62,-2.66,-77.64,-48.83,-50.85,27.36,-0.89,4.16,116.54,101.57,221.68,43.52,38.44,-34.23,-132.91,14.24,3.9,-31.34,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-47.47,-90.39,-76.65,101.38,336.88,-59.47,30.87,-27.34,-154.94,-221.15,-219.69,-143.73,214.59,224.66,536.55,1097.62,977.11,538.99,171.32,10.57,-67.14,-64.11,-74.43,-102.1,18.88,-32.97,-161.64,36.24,135.8,-8.97,31.44,77.48,-35.42,65.59,13.95,20.43,202.37,38.71,-4.67,-29.6,-72.59,-22.05,-79.49,-48.51
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,,,,,-81.22,,-78.55,20.97,156.19,32.85,108.88,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-135.38,-87.07,100.98,155.6,307.76,-12.48,5904.02,-183.9,46.09,-14.05,-54.02,16.44,-47.72,-91.7,283.75,76.97,71.2,2627.1,189.31,1805.24,66.28,-45.95,-35.79,-112.09,-89.85,-36.48,94.68,1023.47,3.03,-75.25,20.71,-198.68,-31.05,-827.48,33.95,153.83,-101.22,99.46,108.4,-470.78,12660.33,-50115.56,-1.32,119.61
2397 友通 (上市電腦及週邊設備業),-20.22,54.94,70.85,17.42,4.73,3.44,-26.3,-1.63,-48.99,-17.83,25.2,-39.57,51.83,-5.36,-68.53,14.07,-16.2,38.42,319.79,42.59,-24.2,-65.41,-28.43,-62.71,-3.16,139.03,93.09,83.97,31.58,4.29,63.85,22.63,17.44,15.19,-9.49,109.64,49.63,54.68,42.85,-30.15,-6.84,3.98,21.57,21.68
8234 新漢 (上櫃電腦及週邊設備業),-71.93,-173.01,69.36,269.93,402.6,125.06,98.68,-46.96,-3.7,-31.72,-38.7,-258.67,-74.05,101.88,20.27,322.1,713.73,-7.66,20.01,104.57,-53.95,-41.17,-155.02,-153.48,-266.82,-87.42,148.16,23.97,108.05,482.09,-34.27,-41.52,-28.38,-63.49,267.8,51.73,-15.29,90.59,17.17,-58.49,-57.09,-36.19,-208.68,-27.12
2395 研華 (上市電腦及週邊設備業),3.3,10.74,10.19,13.12,20.16,38.09,21.9,-11.01,21.79,-13.99,-5.5,38.29,-22.66,15.16,18.94,31.83,41.43,29.56,11.92,16.15,10.37,-25.83,-11.22,-45.24,-36.84,-2.13,-6.59,41.49,16.72,7.03,11.7,-1.04,7.98,-0.88,25.12,9.72,2.79,30.99,7.14,1.4,4.49,-0.38,9.27,10.33
6166 凌華 (上市電腦及週邊設備業),-68.87,-37.71,41.15,3519.35,128.4,60.2,131.7,-4.54,-58.8,-34.28,-47.09,-72.19,-124.79,-145.97,-8.14,-96.68,1095.48,751.68,17.74,9503.81,-46.75,-77.06,-79.75,-186.23,-105.02,-28.87,307.45,125.57,40.51,22.13,-6.23,113.26,-19.25,-18.51,37.27,-79.26,-46.0,-23.09,112.52,95.6,-5.27,34.89,-95.78,-48.49
3088 艾訊 (上櫃電腦及週邊設備業),-45.14,204.82,156.53,-22.17,-7.71,7.06,-17.99,-32.48,-10.68,-23.93,-13.05,6.14,-43.84,78.71,-13.85,128.95,36.36,14.7,183.32,7.14,189.59,20.18,-9.81,-1.72,-27.74,24.84,-8.57,75.45,55.14,12.04,15.42,-5.18,-16.75,22.22,76.88,14.87,-17.55,-4.72,-27.79,-50.64,-45.55,-21.71,66.6,15.01
6579 研揚 (上市電腦及週邊設備業),-58.12,-34.92,63.05,228.76,72.92,-9.01,56.37,-27.31,3.46,-10.82,-21.89,-56.76,-67.45,0.17,83.22,289.68,469.23,93.97,18.81,18.05,-30.79,-2.83,-28.62,-61.73,-25.34,-69.04,-27.05,,,,,,,,,,,,,,-45.77,-44.23,-51.76,70.41
