公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,14.34,8.59,5.94,5.04,5.37,1.32,3.49,4.01,2.75,0.54,1.58,1.83,2.28,3.41,2.38,4.32,6.82,4.64,1.72,5.28,6.87,2.14,1.58,4.47,4.04,8.53,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1.53,1.05,0.47,2.0,1.19,0.21,1.36,0.31,0.9,-0.02,0.01,0.0,0.03,0.12,3.71,3.04,4.47,6.97,3.98,3.08,2.59,3.32,-0.47,2.08,1.78,0.94,1.05,3.0,2.27,3.86,3.36,3.69,4.84,3.99,5.34,5.58,2.2,6.24,4.5,5.64,7.17,5.69,3.49,2.21,2.2,6.04,1.16,5.71
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,22.12,,16.34,5.43,4.11,6.99,1.3,6.85,5.93,4.54,4.77,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-4.53,1.95,1.13,1.08,1.77,0.59,-0.35,-2.2,1.23,1.52,0.05,-0.61,0.66,-0.02,1.36,0.78,1.02,2.96,1.82,1.69,2.55,1.61,-0.01,0.81,1.79,0.48,3.63,0.94,5.15,1.57,2.68,1.48,2.84,1.53,5.01,-2.19,1.31,0.04,3.86,0.14,0.23,-2.19,4.37,-6.73,4.37,17.87,-2.87,1.63
2397 友通 (上市電腦及週邊設備業),2.54,6.04,4.12,4.54,5.39,4.58,2.23,2.92,1.88,2.66,2.15,1.92,2.53,2.2,8.27,2.04,2.75,3.58,2.34,2.24,1.8,0.64,1.68,1.13,1.71,2.36,4.23,2.01,2.53,2.43,2.09,2.64,2.6,3.03,3.52,2.46,3.1,4.16,2.52,4.79,4.4,3.85,3.9,2.42,4.09,4.62,4.14,5.22
8234 新漢 (上櫃電腦及週邊設備業),1.98,1.72,2.87,1.53,2.39,1.65,2.54,0.46,1.65,1.59,3.08,-1.28,0.86,3.43,3.49,3.34,3.79,20.88,1.55,3.89,0.68,2.72,-1.93,-0.63,0.1,0.25,1.81,3.28,2.8,0.57,2.73,3.54,4.66,12.01,2.42,0.09,1.82,3.19,3.33,1.74,2.39,1.49,3.78,-1.79,3.75,2.17,0.68,1.25
2395 研華 (上市電腦及週邊設備業),6.02,5.71,5.69,5.3,6.3,7.19,5.35,4.17,7.85,6.12,5.08,5.76,5.55,6.61,6.15,6.93,6.7,8.0,5.9,7.03,7.25,5.7,4.77,4.28,4.73,4.76,5.1,4.55,6.25,6.33,5.48,5.72,5.98,6.64,5.75,5.25,6.01,5.72,5.91,5.44,6.2,6.35,5.79,4.65,6.76,6.3,4.79,6.28
6166 凌華 (上市電腦及週邊設備業),1.72,1.03,2.63,2.4,2.41,2.13,2.66,1.82,0.58,1.26,1.62,0.05,1.47,-1.16,2.33,1.13,9.27,4.56,1.56,1.35,1.01,1.81,1.3,-1.68,-1.94,0.58,3.29,1.52,5.74,3.9,2.52,3.32,6.08,4.55,3.66,5.16,4.49,4.26,2.5,1.29,1.98,1.11,5.08,0.51,2.71,3.71,0.47,1.31
3088 艾訊 (上櫃電腦及週邊設備業),1.85,4.79,5.04,4.81,7.03,4.2,2.85,2.55,4.28,2.43,2.62,4.6,1.78,4.96,3.02,4.42,2.66,6.04,5.69,3.52,6.14,5.82,3.76,3.62,3.98,5.29,5.1,5.29,5.81,6.13,4.13,7.43,6.66,7.12,4.87,5.63,5.06,10.08,6.74,6.17,4.67,5.87,5.18,1.7,38.03,4.0,3.44,4.46
6579 研揚 (上市電腦及週邊設備業),3.61,7.22,0.96,3.03,1.29,1.19,2.52,-0.42,3.19,1.11,1.81,0.52,0.36,1.27,4.13,1.75,3.58,4.39,3.66,3.53,3.43,2.93,0.98,3.84,2.3,0.33,2.87,,,,,,,,,,,,,,10.23,5.7,5.31,2.6,6.67,3.57,5.8,1.9
