公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,22.78,25.97,22.39,24.73,16.79,24.52,26.09,22.84,19.03,19.27,31.36,18.15,19.23,19.65,23.26,20.83,23.56,21.53,26.24,20.69,17.05,17.82,25.21,19.82,16.82,22.78,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),61.64,60.0,66.18,68.7,65.69,61.64,45.69,48.13,52.02,50.28,48.91,61.64,37.82,68.7,65.22,50.56,58.82,52.33,55.56,65.22,65.22,67.67,72.58,77.59,58.82,62.07,65.22,41.1,43.69,40.91,38.3,34.48,27.61,44.33,46.39,39.13,40.18,40.91,41.28,42.86,40.36,46.39,56.6,57.69,56.96,51.14,61.64,56.6
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,25.46,,22.47,25.71,27.36,24.66,22.9,20.32,25.64,25.35,17.75,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),84.91,85.71,96.77,111.11,92.78,88.24,89.11,145.16,103.45,120.0,103.45,147.54,115.38,140.63,125.0,160.71,121.62,116.88,85.71,112.5,95.74,118.42,107.14,176.47,121.62,134.33,97.83,92.78,73.17,87.38,83.33,92.78,71.43,89.11,80.36,145.16,113.92,138.46,101.12,142.86,125.0,109.76,91.84,166.67,115.38,125.0,120.0,91.84
2397 友通 (上市電腦及週邊設備業),83.33,67.16,75.63,72.58,70.31,75.63,65.22,84.91,90.91,90.0,87.38,89.11,66.18,62.94,58.82,64.75,67.67,65.22,60.4,65.69,62.5,57.69,-85.71,90.0,80.36,73.17,67.67,60.0,55.56,61.64,73.77,54.88,57.69,58.44,52.94,52.33,52.33,65.69,61.64,54.88,58.82,62.5,66.18,62.5,64.75,76.27,55.9,77.59
8234 新漢 (上櫃電腦及週邊設備業),71.43,69.23,71.43,84.91,68.18,76.92,66.67,89.11,76.27,76.92,73.17,101.12,77.59,69.77,69.23,84.91,72.58,81.08,83.33,93.75,90.0,87.38,82.57,68.18,68.18,62.94,69.77,73.77,69.23,72.58,63.83,64.29,59.6,61.22,63.83,67.67,61.64,65.69,58.44,69.77,60.0,60.4,62.94,79.65,69.77,70.87,76.27,69.77
2395 研華 (上市電腦及週邊設備業),58.82,57.32,60.81,62.5,57.69,58.44,61.22,67.16,56.6,63.38,61.64,60.81,60.4,59.6,59.21,59.21,61.22,59.6,62.5,58.06,58.44,61.64,56.6,59.21,55.56,55.56,53.57,60.4,54.88,57.69,57.69,62.5,58.44,61.64,59.6,58.44,53.57,61.22,59.21,56.6,56.25,59.6,58.44,63.38,56.6,60.81,62.07,60.81
6166 凌華 (上市電腦及週邊設備業),58.06,60.0,52.94,68.7,69.23,68.18,59.21,63.83,66.18,65.22,61.64,80.36,71.43,75.0,64.29,80.36,73.77,68.18,61.22,64.75,60.0,66.67,67.67,93.75,67.16,69.23,62.07,70.31,63.83,76.92,75.0,67.67,59.21,72.0,68.18,63.83,58.06,63.38,67.16,62.94,59.6,62.07,53.25,69.77,54.22,53.89,69.23,61.64
3088 艾訊 (上櫃電腦及週邊設備業),50.85,42.06,50.0,51.43,44.55,48.91,50.0,55.9,56.6,55.56,53.89,66.18,56.6,46.63,52.33,49.18,46.15,40.0,37.66,43.69,40.18,45.92,45.45,47.12,43.27,41.28,41.28,51.43,48.65,42.25,44.33,41.1,42.65,45.23,46.63,45.23,47.87,41.67,40.36,38.79,43.06,42.25,47.37,51.14,50.28,48.39,40.18,56.25
6579 研揚 (上市電腦及週邊設備業),51.72,46.88,52.63,50.28,49.45,52.33,44.12,51.43,49.72,50.85,45.45,45.0,43.06,44.78,42.25,54.22,48.91,48.13,44.55,48.65,43.69,45.45,43.27,44.78,42.06,45.92,44.78,,,,,,,,,,,,,,53.1,55.56,122.45,52.94,48.39,53.25,49.45,45.45
