公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),130000.0,149600.0,149600.0,149600.0,157080.0,175000.0,175000.0,175000.0,185500.0,185500.0,185500.0,185500.0,185500.0,185500.0,185500.0,185500.0,191020.0,191020.0,191020.0,191020.0,212454.0,210806.0,211230.0,211085.0,232302.0,232302.0,233724.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1234726.0,1234843.0,1764185.0,1764185.0,1764635.0,1765164.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1770998.0,1933032.0,1949967.0,1949980.0,1949980.0,2067621.0,2068218.0,2060568.0,2060568.0,2060724.0,2061770.0,845367.0,888682.0,891222.0,911367.0,947508.0,999164.0,999720.0,1001930.0,1085430.0,1138488.0,1138488.0,1138488.0,1138584.0,1180848.0,1202126.0,1203809.0,1205386.0,1237029.0,1234656.0,1234843.0,1764185.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,202735.0,,212956.0,,226356.0,226356.0,228541.0,230541.0,255591.0,256171.0,256171.0,256171.0,256171.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),627806.0,646045.0,629986.0,629986.0,642275.0,642275.0,642275.0,642275.0,658582.0,678739.0,711534.0,717097.0,732305.0,744218.0,744218.0,906402.0,906589.0,954393.0,954394.0,954394.0,954394.0,954394.0,954394.0,956974.0,956974.0,956974.0,956974.0,403940.0,457800.0,457800.0,457800.0,457800.0,480673.0,480673.0,500673.0,501445.0,561445.0,561445.0,561445.0,561445.0,577806.0,577806.0,577806.0,577806.0,577806.0,627806.0,627806.0,635475.0
2397 友通 (上市電腦及週邊設備業),1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1146889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1144889.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1148399.0,1146889.0,1146889.0,1146889.0
8234 新漢 (上櫃電腦及週邊設備業),1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1412265.0,1112533.0,1280079.0,1280329.0,1283259.0,1287169.0,1375194.0,1380455.0,1390745.0,1406213.0,1398762.0,1406139.0,1402625.0,1403285.0,1404505.0,1407715.0,1408465.0,1409195.0,1410085.0,1412265.0,1412265.0,1412265.0
2395 研華 (上市電腦及週邊設備業),6972825.0,6975445.0,6986955.0,6990755.0,6991405.0,6999230.0,7004100.0,7008700.0,7713500.0,7719455.0,7722545.0,7726405.0,7727295.0,7738228.0,7744638.0,7758374.0,7763662.0,7778434.0,7779769.0,7784871.0,8567316.0,8577794.0,8584494.0,8604477.0,8631680.0,8634322.0,8635894.0,5652059.0,5656272.0,5669249.0,5694000.0,5714511.0,6287021.0,6301031.0,6312091.0,6315186.0,6316906.0,6318531.0,6318531.0,6318531.0,6318531.0,6326091.0,6330841.0,6332541.0,6966115.0,6970325.0,6974575.0,6982275.0
6166 凌華 (上市電腦及週邊設備業),2175232.0,2175232.0,2175232.0,2175205.0,2175205.0,2175205.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,2174973.0,1707094.0,1707094.0,1707809.0,1709224.0,1709874.0,1830560.0,1832905.0,1834335.0,1835425.0,2003669.0,2004829.0,2017589.0,2170749.0,2172804.0,2175579.0,2175619.0,2175679.0,2175059.0,2174827.0,2175232.0,2175232.0
3088 艾訊 (上櫃電腦及週邊設備業),794509.0,794180.0,797245.0,796836.0,797124.0,807160.0,864911.0,825112.0,841356.0,829105.0,849850.0,855267.0,861140.0,966153.0,959923.0,904653.0,907281.0,907184.0,923314.0,919605.0,1016028.0,1014234.0,1018744.0,1020205.0,1021225.0,1025437.0,1031454.0,773430.0,773430.0,775419.0,776540.0,781169.0,780930.0,780930.0,783603.0,793129.0,788070.0,792684.0,790310.0,790310.0,790310.0,790310.0,790310.0,790310.0,790310.0,795247.0,794634.0,798776.0
6579 研揚 (上市電腦及週邊設備業),1068000.0,1068000.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1484985.0,1486185.0,1486555.0,1487375.0,1490825.0,1492255.0,1495665.0,1601788.0,1602418.0,1604078.0,1608908.0,1689872.0,1693692.0,1694512.0,,,,,,,,,,,,960000.0,,960000.0,960000.0,960000.0,960000.0,960000.0,1068000.0,1068000.0,1484985.0
