公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),394.89,292.23,350.78,328.99,269.05,460.25,525.95,300.74,274.08,416.36,441.18,294.46,292.8,344.3,306.96,233.79,229.62,238.67,268.92,240.26,237.85,289.17,281.86,272.62,192.32,266.01,305.11,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),222.95,159.56,190.84,189.07,164.56,140.93,130.79,226.91,273.16,320.78,392.3,226.61,248.9,208.92,181.36,158.96,157.85,198.07,270.16,330.26,262.58,347.89,237.75,227.5,162.44,242.29,240.76,271.14,240.98,280.93,292.88,303.12,189.73,174.53,181.18,283.17,225.05,237.47,265.97,235.65,190.52,219.73,250.81,243.26,158.87,186.71,208.84,172.87
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,231.12,,207.95,,329.69,246.35,242.71,366.53,466.18,300.91,250.14,287.42,311.9,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),211.61,237.6,180.92,174.58,161.87,176.12,160.26,197.14,168.23,186.9,187.46,209.94,212.18,196.49,200.44,244.13,236.02,238.39,222.84,223.97,214.29,233.82,228.06,239.08,284.82,268.97,210.0,190.42,213.67,219.29,220.87,205.53,206.12,192.22,337.73,305.69,363.47,320.19,199.36,185.97,183.62,170.82,214.71,194.13,198.22,203.06,207.8,183.08
2397 友通 (上市電腦及週邊設備業),339.06,201.99,246.26,277.33,184.46,238.37,198.67,204.96,177.52,194.23,200.1,195.26,153.6,134.36,184.81,144.83,152.81,168.11,166.23,160.65,164.25,162.54,188.01,173.32,170.66,148.96,169.65,687.03,429.62,730.4,642.79,636.35,499.34,677.05,582.48,493.62,330.67,597.63,495.38,396.02,288.13,420.63,403.14,409.67,251.66,340.41,320.54,262.38
8234 新漢 (上櫃電腦及週邊設備業),124.34,118.19,112.67,116.29,111.93,109.74,112.39,114.9,113.41,115.79,118.66,117.85,114.8,113.34,115.1,118.39,118.72,132.91,133.24,144.76,140.96,146.87,147.88,156.73,146.78,147.56,142.62,176.95,146.89,142.55,141.08,141.14,146.12,159.79,157.67,155.72,135.87,144.42,144.2,146.06,135.72,131.09,132.97,130.92,122.65,122.72,124.42,113.03
2395 研華 (上市電腦及週邊設備業),210.02,158.92,208.84,214.31,165.9,217.29,233.93,164.64,175.68,238.59,250.39,176.46,176.2,217.45,222.29,176.36,179.17,222.36,225.9,173.55,192.06,248.67,258.23,182.98,199.88,275.88,271.04,252.1,180.6,214.67,210.11,228.84,168.18,210.17,229.06,244.24,172.15,220.14,195.68,207.51,152.96,191.99,185.23,217.8,164.06,201.5,216.57,197.45
6166 凌華 (上市電腦及週邊設備業),182.69,159.55,181.76,175.71,168.91,179.28,174.25,178.12,164.98,156.48,164.89,139.15,127.07,114.97,128.05,140.17,159.19,159.8,184.92,155.26,159.85,167.19,168.33,160.18,154.58,154.02,160.2,180.94,161.95,165.52,180.61,168.91,150.44,158.6,168.48,164.03,147.43,159.94,145.52,182.26,159.04,170.66,185.33,175.5,156.21,161.52,178.58,179.13
3088 艾訊 (上櫃電腦及週邊設備業),182.26,142.56,163.6,173.24,163.92,175.67,268.64,269.29,219.82,231.53,227.38,202.36,189.25,214.22,175.75,167.11,164.94,177.42,182.47,165.98,177.48,298.26,282.82,237.49,239.69,266.05,338.11,252.28,194.39,237.06,260.27,245.23,209.82,249.07,251.42,257.02,189.95,228.6,228.87,286.63,205.48,242.13,286.12,332.95,242.55,308.26,188.4,158.41
6579 研揚 (上市電腦及週邊設備業),473.37,323.06,412.77,392.23,260.68,348.59,389.68,386.83,292.02,421.85,440.32,404.59,270.63,332.34,338.45,325.79,275.42,323.31,356.62,380.14,290.83,395.07,435.18,397.26,260.23,382.85,444.66,,,,,,,,,,,,317.76,,221.86,268.84,299.19,341.99,273.69,509.05,554.22,386.09
3479 安勤 (上櫃電腦及週邊設備業),256.19,212.0,258.16,238.67,202.14,194.94,213.71,193.09,210.81,257.09,276.97,213.79,199.64,189.06,186.19,165.9,168.65,174.73,196.15,171.58,183.14,198.19,216.38,249.94,244.58,237.43,203.64,171.16,144.89,175.35,273.42,241.88,180.71,180.02,301.98,298.55,246.73,264.36,271.34,267.23,207.31,254.77,287.25,280.07,214.86,230.56,218.4,209.57
6414 樺漢 (上市電腦及週邊設備業),172.84,105.74,106.58,137.5,143.62,138.71,133.56,141.82,136.25,132.4,136.13,124.66,122.0,122.88,140.3,143.95,140.18,134.35,149.46,137.54,138.73,148.72,142.79,144.26,144.94,147.34,,,228.44,265.42,285.74,443.2,378.87,331.51,242.07,256.52,245.78,233.33,216.43,139.55,173.94,238.03,142.64,273.75,142.17,157.1,160.93,105.68
6570 維田 (上櫃電腦及週邊設備業),456.72,346.93,383.0,347.13,270.84,306.52,384.6,365.24,263.9,266.89,255.2,219.84,240.96,226.48,245.97,244.62,249.1,279.34,316.46,216.67,225.2,353.95,367.26,236.16,150.39,291.43,309.67,,,,,,,,,,308.06,,354.84,,308.43,,495.47,,317.01,463.48,447.18,403.44
6245 立端 (上櫃通信網路業),191.92,181.07,176.36,206.96,185.92,200.62,197.3,209.67,196.8,198.76,236.04,264.39,205.81,223.02,207.4,249.89,210.15,222.3,171.54,189.2,183.96,184.03,257.87,276.02,240.33,307.91,309.61,185.69,172.42,152.39,188.18,200.79,201.78,194.59,166.63,177.77,160.94,166.81,168.34,179.88,160.51,191.59,188.9,222.47,180.87,186.47,227.61,181.86
通信網路業,135.12,134.91,150.59,157.59,133.58,143.14,156.99,131.71,122.55,128.35,138.54,138.29,123.96,129.47,139.17,143.75,127.87,135.92,141.86,147.36,134.46,143.35,148.3,146.36,127.9,141.35,144.88,152.79,131.0,144.54,126.97,136.31,122.62,132.47,138.28,144.47,127.31,136.13,144.39,152.29,130.76,141.15,146.78,154.84,128.84,140.27,153.37,145.23
