公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,24717.0,12584.0,-1320.0,-1326.0,61418.0,9067.0,-11485.0,10012.0,-44905.0,9342.0,-10662.0,7566.0,-38236.0,33558.0,23552.0,1554.0,-46535.0,15224.0,-35110.0,-2070.0,18178.0,-50393.0,14231.0,-9174.0,434928.0,-94485.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-271507.0,70490.0,-225348.0,-33883.0,-39199.0,152342.0,163968.0,673653.0,443251.0,-103001.0,858469.0,323894.0,8937.0,-85881.0,-397408.0,-445104.0,72184.0,217851.0,406913.0,257211.0,301256.0,-83297.0,-343615.0,-955047.0,-315716.0,216126.0,97241.0,-38498.0,-84111.0,-55950.0,-65608.0,91436.0,-58452.0,-73178.0,121968.0,-31900.0,114628.0,-233367.0,-67070.0,-27694.0,-110169.0,-166930.0,179322.0,49746.0,131097.0,86565.0,240384.0,24441.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,-8592.0,,33995.0,-4645.0,-2344.0,-127146.0,216612.0,-4363.0,509733.0,-101654.0,-10401.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-69495.0,-160244.0,-53188.0,6939.0,37253.0,-11031.0,7196.0,47387.0,521783.0,-26002.0,-74716.0,4047.0,31365.0,75898.0,45348.0,-3799.0,-5121.0,128312.0,43370.0,76190.0,-43886.0,-137870.0,19709.0,-132078.0,-231763.0,39683.0,-26018.0,21987.0,-12103.0,46832.0,45333.0,88299.0,10498.0,38430.0,108103.0,138301.0,183719.0,61293.0,42100.0,107742.0,86681.0,134666.0,-7414.0,69240.0,-4398.0,402246.0,1581.0,-14351.0
2397 友通 (上市電腦及週邊設備業),0.0,,-12909.0,-144940.0,-235666.0,-604440.0,10465.0,83038.0,-272973.0,-272774.0,-171566.0,29058.0,564529.0,269098.0,383445.0,196018.0,65593.0,-394187.0,-200232.0,-703275.0,-289811.0,-471344.0,-686720.0,-138154.0,-1954.0,1333818.0,6816.0,,,-172260.0,0.0,,,-216125.0,-53188.0,57252.0,-173.0,-295897.0,0.0,0.0,0.0,-326863.0,0.0,,,-516100.0,,-481693.0
8234 新漢 (上櫃電腦及週邊設備業),-11726.0,-92763.0,158929.0,221480.0,-87176.0,-206685.0,106901.0,-177591.0,-161413.0,169977.0,-525418.0,28276.0,104453.0,114568.0,274211.0,290529.0,-130127.0,-161266.0,-199045.0,-404030.0,-205052.0,-205525.0,-524645.0,-347865.0,-42336.0,-37926.0,-34269.0,-86933.0,990339.0,-32349.0,-43530.0,-82264.0,9855.0,-106315.0,92745.0,-9109.0,27321.0,-204369.0,-55691.0,53373.0,-65299.0,53239.0,233898.0,58315.0,-16959.0,-69094.0,81984.0,251333.0
2395 研華 (上市電腦及週邊設備業),-227850.0,-26608.0,82460.0,125886.0,-169133.0,-4627092.0,-57425.0,2592.0,-54684.0,-5507682.0,-154783.0,-165899.0,-73943.0,-5441256.0,117488.0,261174.0,9385.0,-5866835.0,-52349.0,170899.0,-170545.0,-7931685.0,-132766.0,169391.0,365774.0,-8131857.0,-195495.0,43575.0,-148847.0,-2805144.0,21303.0,33805.0,9468.0,-2776485.0,-176353.0,74133.0,-4605.0,-3863828.0,796289.0,-411848.0,1502.0,-3686704.0,59171.0,25443.0,-105956.0,-4080840.0,17853.0,-4425597.0
6166 凌華 (上市電腦及週邊設備業),-79189.0,34010.0,155938.0,68270.0,9765.0,-305705.0,-177885.0,-112198.0,294805.0,-132937.0,186965.0,2186315.0,-64187.0,815289.0,914247.0,20972.0,-188287.0,-151140.0,-226242.0,65605.0,-352871.0,-135837.0,-83459.0,-184277.0,-55627.0,-314265.0,-326550.0,168014.0,-137923.0,-177893.0,-172505.0,23707.0,-96790.0,44740.0,-37326.0,47959.0,120972.0,-163014.0,462121.0,148245.0,-121872.0,-274202.0,-76347.0,24148.0,-165890.0,-359248.0,49965.0,-253298.0
3088 艾訊 (上櫃電腦及週邊設備業),7921.0,-1599.0,-150821.0,-9767.0,-62039.0,-247064.0,33102.0,-111927.0,-6130.0,-8201.0,-336107.0,-4516.0,14292.0,-43727.0,183978.0,20174.0,32577.0,-11155.0,-104962.0,82725.0,64347.0,-160703.0,-4297.0,3779.0,-70106.0,-62822.0,-386183.0,-13552.0,-8007.0,-63951.0,-80304.0,7505.0,-992.0,-183519.0,51142.0,2525.0,-11017.0,-210715.0,-75465.0,-12005.0,-1934.0,-223401.0,320377.0,12131.0,69674.0,-266709.0,-462.0,-247778.0
6579 研揚 (上市電腦及週邊設備業),-3563.0,-964.0,-14283.0,-47342.0,-14826.0,-689250.0,-17889.0,-12228.0,9213.0,-553505.0,-33734.0,-28575.0,226494.0,-498459.0,-18658.0,130056.0,-86881.0,-512756.0,-6180.0,7895.0,-10386.0,-912544.0,-8009.0,11642.0,-13412.0,-1153551.0,-146585.0,,,,,,,,,,,,,,869.0,-288869.0,548242.0,-718.0,-65550.0,628960.0,17648.0,-563822.0
