公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,35.17,36.18,33.44,35.41,34.64,36.45,33.64,34.51,36.37,31.72,29.42,34.59,29.44,31.82,28.82,30.89,30.2,37.26,30.81,30.87,32.51,31.98,31.73,34.61,35.08,35.44,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),25.79,22.69,24.63,26.65,25.4,25.42,22.13,24.25,18.97,15.12,13.99,17.32,11.5,18.6,28.6,27.02,30.49,30.08,27.79,28.1,23.59,22.31,24.32,24.54,26.06,24.62,20.55,31.87,32.57,33.2,31.84,31.08,31.97,30.0,33.31,32.35,28.56,33.02,34.39,36.25,37.78,34.29,34.35,34.0,29.17,31.34,24.16,26.43
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,41.09,,42.41,38.79,39.67,49.94,44.75,44.81,44.57,43.12,41.45,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),22.21,33.28,31.26,34.61,31.56,29.53,29.08,29.04,27.43,29.0,27.34,26.32,28.35,22.83,30.65,27.38,28.79,30.79,31.48,37.88,32.43,29.44,31.49,31.1,26.89,29.64,35.95,38.41,37.91,38.1,35.69,38.42,38.58,39.3,37.71,39.37,45.28,35.84,36.83,39.88,41.63,40.74,43.93,39.37,42.17,22.28,25.28,35.82
2397 友通 (上市電腦及週邊設備業),33.55,30.05,29.78,28.8,30.69,30.96,24.41,27.4,23.53,25.65,24.34,24.6,20.78,18.33,15.79,18.2,20.17,21.83,20.54,21.86,20.72,18.16,-4.68,27.57,27.12,27.58,28.97,31.01,29.33,29.14,33.8,31.02,34.01,32.45,33.57,33.1,28.64,32.3,31.99,37.38,31.28,33.0,30.37,31.75,31.12,32.52,30.07,28.46
8234 新漢 (上櫃電腦及週邊設備業),24.19,21.33,22.61,24.47,23.59,25.9,25.7,23.24,24.04,24.86,24.48,21.84,22.36,24.55,23.1,25.32,24.1,25.7,26.38,30.72,26.86,29.1,24.16,21.9,23.99,26.03,23.27,27.12,25.41,24.49,24.8,25.3,26.67,26.0,23.85,23.82,26.78,24.98,26.7,26.49,26.12,24.09,25.37,22.59,22.46,22.38,19.34,23.17
2395 研華 (上市電腦及週邊設備業),38.76,37.9,38.59,38.41,38.71,39.61,39.06,38.99,41.13,39.79,39.46,39.58,36.72,36.8,38.11,38.2,38.63,36.42,38.85,39.73,41.19,40.09,41.09,39.97,40.5,41.3,41.21,41.72,40.92,40.26,41.4,41.48,40.07,39.63,40.08,40.88,39.7,39.69,41.3,41.07,40.21,41.53,40.26,40.49,38.58,39.01,38.2,38.52
6166 凌華 (上市電腦及週邊設備業),35.09,34.6,35.75,39.74,41.2,40.72,41.7,39.35,39.78,40.25,39.1,41.48,35.55,35.0,35.7,33.2,39.23,36.79,35.74,37.43,36.51,37.54,35.06,38.3,36.98,39.06,36.67,40.76,41.17,40.33,40.12,43.73,41.56,41.34,40.11,44.7,39.91,39.24,41.69,45.45,42.87,42.08,43.88,39.81,37.58,36.59,35.89,36.1
3088 艾訊 (上櫃電腦及週邊設備業),33.79,31.73,35.08,33.73,37.56,37.04,34.55,31.73,36.1,33.27,33.67,36.66,34.13,33.0,31.64,33.12,30.24,34.12,36.82,32.68,36.14,37.86,36.61,38.36,37.0,36.62,35.83,37.18,37.57,32.72,33.5,35.38,36.13,33.99,34.27,34.93,37.72,36.43,33.94,36.17,37.96,37.52,36.84,36.43,33.13,32.73,32.64,33.65
6579 研揚 (上市電腦及週邊設備業),31.9,30.94,31.99,31.92,33.94,32.89,35.43,32.52,33.08,29.99,35.43,29.62,26.89,28.89,30.78,28.34,36.35,30.95,35.67,32.28,35.5,36.5,36.0,34.0,37.49,33.58,38.37,,,,,,,,,,,,,,30.81,30.88,38.44,30.36,32.28,30.08,29.09,31.04
