公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,198.28,108.37,80.28,62.35,91.66,32.37,94.08,84.9,67.11,14.42,39.44,33.87,49.82,73.63,33.84,55.56,79.0,51.43,15.17,63.69,76.31,30.06,22.81,92.17,11.34,18.13,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),21.57,15.52,11.33,29.29,15.22,4.83,12.66,4.43,6.28,0.43,1.61,0.65,1.21,3.84,24.76,21.13,29.9,44.75,16.4,17.72,14.55,18.66,-0.99,15.63,16.25,7.39,7.17,40.89,37.88,72.19,109.87,241.2,1165.36,181.04,58.96,83.46,83.94,121.34,62.24,117.53,188.86,122.79,108.88,88.06,77.78,88.16,16.88,73.6
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,535.98,,542.58,163.03,118.67,176.82,43.79,282.01,269.89,20.94,24.04,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-15.94,10.18,4.51,5.04,7.04,2.25,-0.77,-5.41,4.18,5.6,1.98,-1.35,2.99,1.1,6.77,4.91,7.02,17.88,12.61,7.98,12.13,8.73,1.89,5.66,9.78,3.65,23.23,10.23,57.13,30.06,36.62,16.13,25.14,12.03,22.74,-6.89,9.6,1.79,17.34,2.79,2.11,-5.9,18.67,-22.02,15.23,58.77,-16.74,5.41
2397 友通 (上市電腦及週邊設備業),,,,244.42,153.43,311.17,20.16,39.22,32.79,48.06,51.26,30.21,36.19,25.75,61.98,14.69,13.6,15.81,9.85,10.13,9.87,5.2,12.4,7.71,11.27,10.95,15.52,1294.07,1185.17,1486.96,981.49,1112.87,1252.6,1771.59,1901.99,,,,,,,,,,,202.31,,
8234 新漢 (上櫃電腦及週邊設備業),12.32,11.31,15.57,8.56,10.49,7.02,13.91,3.8,6.14,9.22,14.29,-3.72,3.26,12.98,12.58,13.54,13.17,89.11,6.03,15.19,3.81,11.88,-6.3,-0.65,-3.97,2.05,1.78,73.53,21.35,4.43,13.94,18.83,25.24,73.44,16.15,1.78,16.56,24.81,23.24,10.23,19.5,12.76,26.11,-8.73,21.4,14.39,2.6,8.61
2395 研華 (上市電腦及週邊設備業),826.31,-66.93,1314.75,333.72,395.44,351.66,425.85,256.97,736.06,496.17,431.35,631.33,599.75,747.46,643.56,699.91,394.93,606.9,399.89,329.23,330.69,270.27,239.56,104.59,128.99,134.1,107.59,334.04,635.08,1621.75,250.31,1119.16,1330.16,995.71,148.38,1740.57,1360.49,875.77,267.17,785.64,1391.05,1103.42,277.71,552.68,516.06,677.81,1426.12,69.35
6166 凌華 (上市電腦及週邊設備業),22.08,13.42,35.05,25.37,17.79,14.66,31.52,32.9,21.69,20.84,15.23,3.59,8.69,-2.05,13.25,6.16,31.03,17.23,6.52,7.68,6.09,5.76,4.7,-3.74,-3.59,2.13,10.77,9.51,36.39,41.91,39.17,54.49,81.21,63.61,26.03,46.89,52.12,38.8,20.6,13.49,31.18,19.8,95.02,10.67,34.94,47.8,5.34,22.04
3088 艾訊 (上櫃電腦及週邊設備業),23.85,83.62,59.83,49.24,75.84,48.13,41.29,32.0,72.92,36.86,38.78,75.61,40.13,99.25,57.14,103.33,57.12,97.53,62.69,42.62,68.39,65.02,37.86,43.54,42.47,49.11,54.28,193.8,213.91,196.83,144.27,325.02,288.7,230.12,135.6,143.99,151.16,251.41,106.55,175.41,139.75,132.43,104.77,15.06,371.02,50.55,50.66,50.78
6579 研揚 (上市電腦及週邊設備業),115.0,239.19,93.19,210.06,114.93,76.25,173.36,-4.19,345.27,119.39,215.44,58.54,51.59,104.41,223.01,187.19,287.0,289.49,210.93,292.15,339.91,261.63,74.38,301.22,179.98,30.65,148.8,,,,,,,,,,,,,,226.81,243.44,369.01,82.46,243.3,145.24,236.62,822.99
3479 安勤 (上櫃電腦及週邊設備業),87.63,72.88,106.7,67.12,146.2,136.75,111.47,76.48,47.63,70.26,64.66,34.54,36.17,47.85,50.05,61.85,67.35,52.56,63.54,63.18,59.5,91.44,44.96,31.54,47.93,46.64,22.96,47.96,39.81,113.73,157.69,287.34,367.87,156.29,432.32,2324.31,3133.84,147058.0,7743.38,10306.92,4695.2,120.06,78.46,65.86,98.18,144.02,44.92,87.98
