公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,-33841.0,-67997.0,-17774.0,12309.0,-85482.0,3472.0,-4760.0,-12653.0,27405.0,-195.0,-10502.0,-11656.0,55037.0,-20291.0,12878.0,41057.0,3208.0,-29766.0,-30804.0,72271.0,-14224.0,-86138.0,21757.0,-35480.0,-401923.0,102208.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-27254.0,-147251.0,38663.0,17751.0,-52644.0,-471569.0,-123705.0,-670560.0,-170251.0,201421.0,-423988.0,-169073.0,-137700.0,61433.0,586510.0,-103447.0,16647.0,-225724.0,-628303.0,-26610.0,40952.0,-487350.0,373165.0,240211.0,-2942.0,-223400.0,-156751.0,-266747.0,52437.0,-36610.0,187554.0,-6756.0,3344.0,-178975.0,-52179.0,-42664.0,62077.0,-31889.0,-170903.0,-4901.0,-224115.0,-21785.0,-395421.0,148652.0,-281676.0,191979.0,-91205.0,181061.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,-4411.0,,-819.0,-882.0,-632.0,-17222.0,-86796.0,-11907.0,-606155.0,-49354.0,85346.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-72540.0,28154.0,86650.0,-910.0,-3794.0,-96874.0,-108070.0,-51726.0,-376603.0,89125.0,-18542.0,-83969.0,10333.0,22932.0,-30987.0,-1973.0,-9182.0,-105732.0,-99436.0,-70512.0,-22620.0,-6277.0,43996.0,1551.0,105970.0,-35328.0,-71077.0,-3604.0,-3348.0,-3681.0,-11574.0,-57125.0,-9389.0,-21329.0,58.0,-5617.0,-8206.0,-9084.0,-6894.0,-43756.0,-7108.0,-75094.0,-47581.0,-2358.0,-3969.0,-212328.0,-12961.0,-14286.0
2397 友通 (上市電腦及週邊設備業),44876.0,-185537.0,-49451.0,27731.0,78.0,-1601.0,401023.0,-11213.0,-5203.0,47737.0,-1405.0,-61731.0,-387491.0,-38193.0,-47513.0,-97387.0,-114100.0,-58822.0,-20719.0,-2504.0,-8661.0,-2724.0,368159.0,-14543.0,-9086.0,-928673.0,-200157.0,210308.0,-251.0,-5307.0,65643.0,-1891.0,-430.0,-26418.0,-98356.0,-330112.0,-24455.0,-6762.0,-13803.0,-30228.0,-383.0,-4941.0,-16179.0,-5046.0,-23139.0,2931.0,8277.0,-189334.0
8234 新漢 (上櫃電腦及週邊設備業),-15697.0,-89007.0,-59241.0,-58750.0,-73557.0,-27168.0,-36131.0,-14328.0,-27105.0,-19688.0,-69548.0,-16196.0,-35090.0,-15272.0,-121.0,-24226.0,50470.0,-92124.0,544936.0,-15943.0,334999.0,-20347.0,-29400.0,-14325.0,216663.0,-60860.0,-21905.0,-22558.0,-1017355.0,-18585.0,-38908.0,-52411.0,79471.0,283756.0,-19256.0,-40090.0,-14806.0,-15226.0,-13246.0,-28376.0,-13779.0,-21518.0,-5571.0,-21653.0,-28550.0,-22838.0,-47202.0,-77238.0
2395 研華 (上市電腦及週邊設備業),1336502.0,-476363.0,-653632.0,-813643.0,-175662.0,-341899.0,-474610.0,-729739.0,249707.0,-884561.0,555709.0,-396444.0,-348293.0,-230799.0,-300240.0,-455080.0,-490912.0,-500518.0,-793092.0,-1054547.0,-156487.0,-560119.0,-801593.0,890098.0,-255917.0,-714785.0,-389239.0,-1491252.0,-1193659.0,1161846.0,-1280320.0,-534047.0,-1170827.0,2078715.0,-2121487.0,-816625.0,-1634679.0,2844345.0,-2036476.0,-1044408.0,-2453850.0,1811022.0,-1742997.0,-316267.0,-1954210.0,3063720.0,-608639.0,-30524.0
6166 凌華 (上市電腦及週邊設備業),-59384.0,-33396.0,-39386.0,-28304.0,-109330.0,-43567.0,-464307.0,-13105.0,-53174.0,-565864.0,-94991.0,-2854392.0,-234205.0,-163954.0,-90567.0,-189486.0,463461.0,-109854.0,32539.0,-104437.0,-65303.0,-12210.0,-53411.0,-47646.0,-54065.0,-85685.0,53796.0,-70406.0,-24909.0,117332.0,-31488.0,-259326.0,-113275.0,-59834.0,-20996.0,-158315.0,-138352.0,-8248.0,-702082.0,-151997.0,-99101.0,234342.0,-351454.0,-107136.0,165029.0,126880.0,-47482.0,-38562.0
3088 艾訊 (上櫃電腦及週邊設備業),-23949.0,-10478.0,-43241.0,10246.0,87294.0,-5353.0,-23633.0,-17178.0,-7595.0,-7767.0,-10765.0,113502.0,-13390.0,-68747.0,-504984.0,-15850.0,-12506.0,-32824.0,-108599.0,-72446.0,-98876.0,-28580.0,-222782.0,-297888.0,-22880.0,68030.0,-41568.0,-8459.0,-10543.0,-13970.0,-8330.0,-10119.0,-8900.0,-6163.0,-147923.0,-29135.0,6197.0,-10386.0,-41775.0,-18284.0,-14341.0,-7550.0,-14491.0,-25957.0,-171621.0,-60655.0,-16378.0,-8964.0
6579 研揚 (上市電腦及週邊設備業),-30374.0,-1748.0,-12308.0,-2047.0,-10540.0,136175.0,-36268.0,-14333.0,-21697.0,159892.0,-30743.0,-36462.0,-250427.0,120743.0,2203.0,-5253.0,23341.0,33844.0,-22204.0,-39395.0,798130.0,248052.0,-21344.0,-138897.0,-95904.0,332478.0,-57303.0,,,,,,,,,,,,,,-25814.0,11293.0,-16490.0,-37437.0,-28617.0,15351.0,-11125.0,44381.0
