公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),653.89,768.97,341.98,360.34,319.83,439.18,445.7,418.51,426.19,440.43,463.26,433.94,439.39,448.84,473.87,451.92,467.02,486.64,508.37,477.08,515.21,570.72,552.56,538.57,901.32,269.91,266.16,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),314.57,287.9,527.47,550.33,522.95,387.36,342.03,307.47,330.81,342.01,393.2,366.16,335.33,384.86,337.19,304.2,303.18,321.03,277.22,291.72,292.76,316.2,286.44,271.28,248.9,277.69,276.18,222.68,211.5,228.87,239.23,259.67,213.34,208.39,222.64,281.09,263.37,265.05,275.59,279.1,261.06,284.31,324.95,305.95,262.44,309.52,316.38,521.79
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,4907.74,,5105.88,,8744.08,8787.86,10277.91,5325.33,7565.2,7508.04,228.53,233.45,227.7,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),1238.69,1111.49,1002.1,1053.32,1048.66,1112.8,1044.3,1221.89,1413.89,1464.01,1460.34,1540.74,410.55,400.44,399.53,421.75,420.25,451.91,458.06,466.94,454.25,462.16,456.9,455.55,463.36,467.5,499.61,373.37,428.56,439.33,467.43,379.05,388.15,383.24,551.23,555.26,641.29,630.02,530.53,526.55,704.85,690.87,838.15,757.87,797.99,1270.18,1067.55,1015.74
2397 友通 (上市電腦及週邊設備業),541.14,401.0,345.56,299.86,260.36,275.26,297.97,306.68,277.94,271.23,277.89,286.67,329.87,260.35,315.09,278.6,291.16,321.72,284.76,282.49,282.1,277.65,242.94,249.43,254.15,318.17,354.66,1921.89,1849.18,1884.67,1922.9,1999.65,1938.8,2000.46,2067.6,2196.9,515.86,546.53,552.03,553.06,530.97,548.19,551.96,566.3,503.8,533.23,571.57,339.04
8234 新漢 (上櫃電腦及週邊設備業),177.9,176.08,161.7,196.12,184.06,178.69,186.15,189.08,187.15,189.98,201.38,198.27,214.99,213.96,221.97,231.85,232.17,287.66,286.69,297.17,270.72,281.53,269.26,271.74,260.02,252.56,256.06,844.98,175.15,171.62,174.14,179.11,178.48,186.36,190.37,190.89,175.25,180.31,183.72,186.03,178.23,180.52,186.13,182.25,173.08,175.22,181.43,168.08
2395 研華 (上市電腦及週邊設備業),297.54,288.99,324.96,347.98,322.3,345.28,364.47,325.31,345.02,365.96,384.22,356.59,369.2,386.46,403.29,367.3,391.87,419.8,433.94,400.58,423.12,445.59,468.21,419.76,442.34,452.67,458.77,301.03,258.74,249.12,254.37,268.92,238.87,244.18,266.88,268.99,239.4,247.62,258.3,271.16,240.3,254.88,268.62,281.75,263.76,279.63,315.39,308.73
6166 凌華 (上市電腦及週邊設備業),530.35,502.54,581.56,619.08,615.27,659.75,454.61,473.78,449.35,430.18,426.74,164.79,160.98,155.85,171.4,186.14,203.27,205.81,218.34,202.12,200.76,202.73,202.82,193.64,188.59,186.56,195.28,303.78,295.93,306.11,315.43,330.34,325.06,326.5,335.71,352.08,324.92,347.31,346.77,440.75,407.77,434.25,481.89,497.44,478.33,506.5,547.77,552.21
3088 艾訊 (上櫃電腦及週邊設備業),189.49,190.86,211.56,229.97,219.99,228.78,268.66,277.34,263.14,270.66,257.2,251.92,259.56,288.95,207.86,200.78,206.51,218.39,221.74,211.62,219.31,273.44,237.26,226.71,228.76,237.11,250.01,427.22,409.57,428.41,450.7,483.7,452.81,484.33,526.72,514.33,341.33,375.19,394.48,419.38,367.31,388.1,497.76,508.15,214.34,224.65,216.48,199.62
6579 研揚 (上市電腦及週邊設備業),740.95,779.12,1364.14,1433.22,1354.16,1379.89,1416.98,1419.66,1404.94,1455.92,1503.62,1505.07,1019.92,1047.68,1086.58,1133.92,1114.57,1210.05,1209.23,1229.08,788.19,823.14,834.4,878.65,908.06,886.97,913.26,,,,,,,,,,,,408.65,,403.33,428.42,537.42,538.58,516.54,702.43,804.31,1358.02
3479 安勤 (上櫃電腦及週邊設備業),371.44,238.84,250.57,257.48,276.36,290.79,300.46,281.76,312.07,318.33,325.24,311.08,318.32,330.56,346.36,342.68,370.67,402.57,413.42,397.12,418.46,455.11,435.96,484.09,503.75,516.08,240.2,191.5,177.67,199.58,214.03,221.31,204.57,216.83,299.32,308.4,286.08,302.94,317.42,328.82,314.67,359.56,373.88,371.01,342.77,356.89,251.68,244.63
6414 樺漢 (上市電腦及週邊設備業),1374.88,632.82,634.86,954.21,1022.65,989.3,966.76,976.23,935.81,864.41,757.21,685.7,658.73,681.42,795.93,826.25,839.01,837.12,991.54,826.81,849.32,931.84,913.53,788.15,742.19,721.96,,,3361.81,3840.85,4596.9,9249.73,7686.59,7863.12,7179.28,702.51,715.45,773.38,834.29,888.35,783.32,952.97,952.24,1543.33,1177.4,1216.75,1322.82,626.59
6570 維田 (上櫃電腦及週邊設備業),280.95,281.05,301.33,309.13,294.61,308.73,317.93,319.79,307.41,317.79,162.3,156.03,160.88,160.57,165.94,172.48,191.55,201.89,202.85,182.64,188.31,198.37,197.02,186.36,135.12,159.74,160.01,,,,,,,,,,4955.54,,1375.84,,1657.42,,1942.36,,2183.31,2542.24,286.42,286.61
6245 立端 (上櫃通信網路業),288.44,298.32,320.48,341.19,263.89,275.59,285.35,289.77,277.55,300.48,389.31,400.48,357.95,366.89,392.85,408.32,404.5,429.88,363.59,390.73,393.13,413.06,502.53,527.85,488.97,517.33,534.31,211.3,217.91,174.45,197.47,202.99,199.27,207.58,198.74,205.98,203.97,213.49,213.95,225.41,215.19,236.89,262.9,270.32,255.1,269.18,305.18,306.12
通信網路業,191.82,198.82,203.09,216.91,205.54,210.26,219.31,229.9,224.72,226.48,231.1,229.83,220.17,224.62,230.22,234.63,224.55,229.67,232.13,234.64,226.54,232.05,239.78,242.32,229.61,237.27,238.36,176.27,166.79,171.13,176.74,184.18,176.48,180.87,184.91,190.24,180.37,185.17,192.71,198.66,188.47,193.59,195.46,198.33,186.31,191.06,207.38,201.78
3416 融程電 (上市電腦及週邊設備業),425.79,410.64,424.08,435.32,418.92,430.97,446.17,231.81,215.34,224.65,231.91,293.38,275.42,286.33,293.78,254.34,233.32,250.19,268.55,268.28,290.74,320.62,326.17,360.02,246.96,245.51,229.91,252.13,238.04,274.89,290.67,304.32,281.08,354.1,368.99,381.35,308.11,321.47,331.63,343.69,316.21,323.96,317.62,326.44,299.72,307.92,433.6,404.61
電腦及週邊設備業,377.03,366.61,371.06,384.75,377.31,385.31,395.41,385.4,386.91,387.68,429.24,444.49,433.21,439.59,456.07,442.39,424.03,436.34,439.57,422.09,429.76,451.18,467.01,455.25,456.45,490.42,494.8,329.32,318.81,333.87,345.85,361.62,352.11,363.44,369.27,380.37,363.65,369.5,386.85,382.45,368.3,382.64,386.24,397.04,372.62,372.25,383.52,367.31
