公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,,,,-58.06,,-76.07,-17.43,9.62,-40.28,-60.3,-56.31,-55.89,-19.91,521.36,53.32,149.71,228.01,53.17,-19.28,34.5,12.09,-48.94,1.34,-3.94,-31.85,386.35,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),-55.91,-49.57,-49.72,184.75,91.6,-95.42,183.14,-85.68,-30.01,-109.39,-99.42,-99.01,-96.12,724.5,50088.89,109016.56,14086.59,6556.56,33.6,36.43,-19.78,-38.02,-114.35,-21.29,-21.88,-70.62,320.59,47.24,159.57,14.31,67.11,62.69,-47.75,87.8,1.61,13.66,244.03,0.81,-7.61,-54.79,-68.28,9.2,-48.09,32.44
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,,,,,-75.46,,-88.98,80.97,124.09,-0.61,371.99,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-223.86,-48.16,123.3,137.3,-7.03,-63.05,-131.26,-304.34,-31.94,160.72,115.41,68.83,-38.37,-101.57,2827.69,246.36,92.1,17961.04,80.36,168.33,182.51,-40.84,-100.54,-51.88,-29.08,-69.22,41928.29,94.56,-34.76,8.75,128.54,-291.34,-35.87,-96.37,4.45,107.71,-80.05,-5977.63,11.52,-4832.66,1665.25,1002.77,50.4,-90.74
2397 友通 (上市電腦及週邊設備業),-37.11,48.16,67.34,23.36,7.11,4.48,-23.86,-5.24,-52.95,-22.02,8.47,-36.52,41.19,-10.5,307.05,13.31,10.96,73.82,-68.99,14.56,-32.54,-82.19,-34.09,-56.54,-18.3,235.8,165.85,33.25,5.41,27.73,72.29,-4.09,21.9,40.56,-25.73,103.99,50.64,-1.71,63.76,-47.34,-7.62,15.5,67.27,15.67
8234 新漢 (上櫃電腦及週邊設備業),-48.44,-52.36,52.19,139.67,49.97,44.29,-3.83,-67.87,-28.05,-1.22,25.13,-384.57,-47.04,120.33,13.8,370.74,370.29,607.74,-44.1,45.06,-78.77,-86.3,-220.19,-115.0,-86.04,-91.25,188.32,14.54,81.38,2351.33,10.89,-96.98,-55.26,-72.79,34.84,1863.05,32.59,-51.69,16.0,-203.57,54.77,43.92,137.82,-39.9
2395 研華 (上市電腦及週邊設備業),13.55,-7.43,1.08,18.64,19.75,25.91,3.8,-21.1,22.45,-9.36,1.51,50.65,-22.36,16.96,31.64,33.13,35.72,38.89,11.34,15.06,22.0,-19.49,-10.37,-33.37,-29.82,-12.02,12.71,33.37,7.33,19.74,20.88,4.32,10.27,-6.87,9.04,9.14,10.24,19.23,5.74,-8.43,17.25,8.43,13.47,7.23
6166 凌華 (上市電腦及週邊設備業),-65.88,-61.47,49.38,412.4,137.86,68.85,4.31,-22.63,-75.97,-42.5,-41.17,-97.49,149.48,-191.87,39.71,2236.88,556.24,549.61,-16.39,45.12,-87.99,-58.16,-16.45,-221.95,-291.91,-68.84,145.71,139.92,16.81,27.4,62.0,75.07,-17.91,3.49,-25.19,-70.02,-43.74,-68.59,140.63,-58.25,31.26,235.32,-8.65,-65.14
3088 艾訊 (上櫃電腦及週邊設備業),-51.16,-85.59,166.84,40.43,54.8,3.48,-37.71,-42.16,-35.21,-39.89,-6.0,77.35,-58.44,123.04,32.13,11.84,75.06,42.12,118.06,-7.36,175.33,17.68,-20.5,19.45,-26.52,0.26,49.33,54.51,29.66,30.13,33.76,-15.06,-18.96,49.9,50.37,19.62,1.23,-38.81,-21.63,-72.64,852.51,-3.81,174.19,7.11
6579 研揚 (上市電腦及週邊設備業),1.85,54.04,-51.47,-7.34,-69.11,-22.03,159.83,-113.57,141.51,-6.67,-27.87,224.42,-88.59,12.87,126.77,245.57,943.02,278.17,-1.17,125.14,18.37,-10.06,-64.51,41.26,-22.72,-88.81,187.13,,,,,,,,,,,,,,-15.86,-9.62,204.77,-10.32
