公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,31705.0,21388.0,15900.0,13297.0,17116.0,5118.0,13128.0,14576.0,10221.0,2032.0,5735.0,6429.0,8186.0,12626.0,8793.0,16054.0,26851.0,19339.0,7098.0,21592.0,30097.0,9875.0,7193.0,20741.0,20511.0,48027.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),50863.0,33633.0,25576.0,111131.0,64440.0,11174.0,72415.0,15911.0,45101.0,-1049.0,423.0,157.0,1752.0,6551.0,212299.0,171313.0,248549.0,436071.0,283638.0,233714.0,199396.0,270291.0,-40715.0,183963.0,155776.0,79412.0,89815.0,61083.0,45062.0,77892.0,73536.0,89937.0,116968.0,89037.0,122887.0,146317.0,61116.0,167208.0,124865.0,166301.0,210257.0,168556.0,115361.0,75183.0,66689.0,184062.0,39028.0,243763.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,91841.0,,86411.0,31778.0,22537.0,41020.0,9526.0,57510.0,50503.0,40771.0,44962.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-63724.0,25652.0,14848.0,14314.0,23848.0,7954.0,-4641.0,-29249.0,16232.0,20738.0,715.0,-9118.0,10003.0,-326.0,20933.0,13345.0,19216.0,58227.0,37754.0,35809.0,54288.0,34446.0,-205.0,17230.0,38503.0,10601.0,85748.0,5694.0,33582.0,11083.0,19326.0,11078.0,21909.0,12053.0,44168.0,-21197.0,14050.0,438.0,46134.0,1635.0,2803.0,-25744.0,51450.0,-77379.0,49480.0,232408.0,-38377.0,21529.0
2397 友通 (上市電腦及週邊設備業),77659.0,186583.0,129957.0,161578.0,199846.0,164887.0,98949.0,153106.0,94026.0,128576.0,107333.0,97186.0,132753.0,115072.0,436895.0,110119.0,147304.0,200020.0,135468.0,126151.0,99375.0,35625.0,89293.0,54831.0,81185.0,119630.0,237389.0,57040.0,70428.0,66942.0,58937.0,76008.0,74237.0,85506.0,101540.0,72897.0,90497.0,120183.0,75410.0,148701.0,136327.0,118128.0,123492.0,78300.0,125934.0,136439.0,130976.0,157821.0
8234 新漢 (上櫃電腦及週邊設備業),46583.0,41568.0,70894.0,39105.0,62341.0,43350.0,68177.0,12565.0,44852.0,42819.0,85308.0,-35756.0,23754.0,94342.0,97081.0,96806.0,111712.0,667692.0,54265.0,140430.0,23717.0,91507.0,-65223.0,-21070.0,3310.0,8008.0,57607.0,61263.0,52400.0,10781.0,52087.0,70170.0,95045.0,264278.0,57757.0,2122.0,42521.0,71903.0,77878.0,41656.0,56380.0,34733.0,90339.0,-43142.0,87260.0,49986.0,16316.0,30043.0
2395 研華 (上市電腦及週邊設備業),1623474.0,1594639.0,1640948.0,1622869.0,1909601.0,2157044.0,1703341.0,1280407.0,2338224.0,1955214.0,1729142.0,1928897.0,1815308.0,2286911.0,2276247.0,2568035.0,2463791.0,3176293.0,2534440.0,2954676.0,3005793.0,2557298.0,2271566.0,1968758.0,2109362.0,2249790.0,2560308.0,866968.0,1126041.0,1108334.0,1025866.0,1156255.0,1208583.0,1327142.0,1240030.0,1206212.0,1332693.0,1235918.0,1352152.0,1316461.0,1469206.0,1473549.0,1429738.0,1205513.0,1722572.0,1597730.0,1367938.0,1713223.0
6166 凌華 (上市電腦及週邊設備業),79181.0,46847.0,118278.0,111467.0,111429.0,97476.0,123375.0,86247.0,26778.0,56047.0,72576.0,2169.0,66807.0,-51491.0,101399.0,50687.0,438414.0,231511.0,84784.0,73557.0,52634.0,96853.0,70837.0,-89704.0,-101008.0,30176.0,174051.0,45297.0,171696.0,119272.0,79579.0,108677.0,200561.0,151951.0,128920.0,190258.0,164643.0,157257.0,96446.0,57038.0,92636.0,49394.0,232081.0,23814.0,121592.0,165628.0,21754.0,57730.0
3088 艾訊 (上櫃電腦及週邊設備業),43477.0,110078.0,116012.0,116505.0,170406.0,101283.0,72261.0,67384.0,110414.0,60878.0,67922.0,119505.0,45883.0,135785.0,89742.0,133652.0,80321.0,192973.0,195691.0,123820.0,221145.0,227089.0,155570.0,147904.0,162500.0,227681.0,232317.0,70450.0,75381.0,79584.0,56473.0,108855.0,97738.0,103566.0,75537.0,92462.0,79210.0,155247.0,113587.0,110602.0,80188.0,95002.0,89016.0,30257.0,763800.0,91380.0,82961.0,97873.0
6579 研揚 (上市電腦及週邊設備業),164499.0,347821.0,79825.0,257012.0,107446.0,96377.0,207410.0,-34870.0,259490.0,89953.0,149598.0,43384.0,29597.0,101526.0,339246.0,149924.0,308703.0,383945.0,335264.0,337537.0,365400.0,345337.0,118976.0,476806.0,282363.0,38638.0,341613.0,,,,,,,,,,,,,,268354.0,152505.0,161505.0,91011.0,225801.0,137834.0,277375.0,123605.0
