公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,31.71,11.41,7.04,5.98,12.31,-16.41,16.57,5.21,6.66,0.67,3.31,-7.7,-10.03,7.6,-13.57,0.36,16.48,11.1,-1.1,22.82,18.1,18.72,-1.82,7.0,4.05,-0.12,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),26.77,1.38,5.56,2.31,2.81,9.03,-5.03,3.75,-7.56,-5.52,-1.12,-1.68,-5.63,4.25,11.45,-4.63,0.17,5.77,7.44,1.04,7.53,6.5,2.99,3.97,1.32,-1.79,0.23,19.94,4.81,6.56,16.87,22.16,1.27,-3.41,6.06,12.14,0.68,16.27,20.25,6.69,16.4,8.32,24.46,-7.75,2.28,-12.58,-7.52,-5.23
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,10.45,,57.78,3.01,21.34,12.65,-35.35,12.68,19.97,-11.18,0.04,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),5.9,6.96,-4.71,-4.36,-0.11,9.43,4.26,-0.9,-6.14,3.46,2.81,-3.58,-1.86,-8.94,0.82,5.92,-0.76,6.75,4.15,4.89,4.97,9.08,2.28,13.7,-1.81,-2.14,1.49,-3.55,3.32,-21.62,13.41,5.86,1.11,-11.26,-13.24,-20.86,-12.02,-3.93,0.68,0.11,-1.51,1.71,-3.55,-1.98,-6.99,-0.85,-2.62,1.12
2397 友通 (上市電腦及週邊設備業),-5.36,0.43,14.15,23.05,14.82,22.07,15.14,2.39,2.35,-1.99,13.25,3.15,-9.7,-4.51,-4.82,-2.77,-2.12,7.89,5.41,7.37,6.24,6.14,7.08,4.18,6.14,3.52,3.94,-29.17,-4.29,12.47,1.35,1.86,-5.77,63.44,38.49,46.29,-18.53,63.13,19.27,7.28,4.67,37.16,-6.02,9.43,-5.85,52.72,-0.13,67.23
8234 新漢 (上櫃電腦及週邊設備業),1.89,2.98,-4.01,2.32,3.64,3.42,0.79,8.8,-0.13,6.18,9.62,-0.82,1.34,-8.8,-3.3,-2.82,2.27,2.99,5.57,6.78,3.02,7.93,14.74,4.88,-2.29,-3.42,3.94,8.12,3.11,2.08,5.28,5.87,-2.76,-8.4,7.7,4.73,-3.99,6.94,2.14,7.15,-0.9,-0.96,-8.97,5.24,-1.02,0.0,4.14,-5.06
2395 研華 (上市電腦及週邊設備業),-3.65,4.14,12.41,6.89,-0.68,29.19,7.45,-1.25,5.24,44.22,4.54,4.75,2.49,26.96,13.17,-4.07,6.04,27.68,14.95,-3.42,6.93,41.0,2.06,1.83,3.5,40.9,9.09,11.36,12.83,17.43,21.69,7.54,10.8,12.3,22.09,15.6,11.12,10.62,19.18,17.09,9.08,19.7,22.06,-3.86,10.78,17.27,2.63,31.87
6166 凌華 (上市電腦及週邊設備業),-4.72,-0.48,1.33,6.42,4.74,11.32,18.14,21.31,-12.03,1.05,7.19,3.95,-3.5,-6.72,-7.02,-1.0,-0.81,5.68,7.34,3.17,1.65,-1.4,3.42,2.09,3.85,2.76,7.5,7.74,1.55,11.13,12.1,10.39,0.26,3.12,5.06,17.62,0.48,0.7,7.71,14.02,-6.21,11.2,2.89,10.14,3.7,0.83,-0.05,3.7
3088 艾訊 (上櫃電腦及週邊設備業),16.15,10.04,19.36,-7.09,5.52,4.12,3.87,-2.06,6.23,7.17,23.62,-18.55,-4.65,11.4,26.16,-19.88,5.06,5.01,18.36,-3.76,2.84,22.56,12.83,7.36,2.6,10.26,15.41,-0.2,8.9,-6.57,13.18,12.64,6.66,6.25,3.21,19.14,1.54,9.84,19.67,2.98,8.76,21.87,5.3,3.31,-8.0,12.51,-4.04,8.92
6579 研揚 (上市電腦及週邊設備業),14.92,-3.92,3.32,17.91,8.87,16.85,1.2,9.67,-3.2,18.36,34.83,14.23,-14.95,-9.26,-5.28,9.38,-0.6,19.05,10.02,32.36,11.24,33.38,10.0,28.43,7.39,-10.27,15.08,,,,,,,,,,,,,,15.93,14.96,24.64,-5.61,8.88,21.57,-5.43,25.44
3479 安勤 (上櫃電腦及週邊設備業),-0.43,5.18,-10.77,22.8,13.53,10.07,3.28,13.12,1.5,-1.39,11.0,3.1,-0.83,0.14,-22.75,-2.49,5.08,2.09,9.74,15.73,19.09,13.36,-8.54,26.61,3.92,5.93,-5.55,9.56,1.13,25.24,-11.42,1.89,7.93,0.66,-29.99,13.5,-7.19,23.34,3.51,2.05,26.72,36.07,-31.87,6.81,0.3,15.69,17.68,8.14
6414 樺漢 (上市電腦及週邊設備業),10.32,-0.29,7.94,0.3,-3.2,4.37,7.23,-0.09,0.32,1.62,6.71,-1.51,-0.92,-1.88,6.29,-5.13,3.37,-5.34,5.93,3.53,-2.35,-1.12,9.37,-0.53,4.0,2.02,,,36.73,-11.44,32.63,-23.33,-19.34,3.41,14.46,24.92,11.65,11.2,6.18,4.95,3.57,-6.53,7.65,4.7,-1.74,-0.27,-2.41,1.0
6570 維田 (上櫃電腦及週邊設備業),8.59,4.19,10.27,11.44,5.8,-1.15,10.58,11.37,6.76,3.75,0.49,-0.47,2.45,5.26,4.39,1.35,0.87,9.79,28.71,-1.19,12.72,12.23,11.13,-0.81,13.17,6.34,6.58,,,,,,,,,,3.37,,45.36,,14.32,,53.27,,-6.0,-3.51,4.4,11.22
6245 立端 (上櫃通信網路業),16.6,2.95,11.79,1.13,2.6,5.76,16.19,3.37,-14.1,24.16,2.4,-7.16,-0.19,-6.5,18.44,-12.64,0.37,15.4,25.88,14.91,8.76,15.79,13.66,6.48,0.45,0.08,9.53,5.12,2.07,-2.96,-2.9,18.49,-2.94,-0.79,14.99,6.61,5.6,6.98,-0.68,6.47,3.36,13.27,14.99,-9.36,-6.11,11.95,-9.47,13.16
通信網路業,9.94,5.63,7.46,7.38,5.82,10.39,11.0,5.6,3.39,6.94,9.94,3.72,4.54,6.06,6.77,3.34,3.96,7.42,9.37,5.11,6.82,8.95,7.68,7.62,4.81,7.34,9.34,3.56,4.72,9.49,12.79,2.85,7.34,8.25,11.08,4.8,5.92,8.09,8.86,6.23,5.85,6.71,13.04,5.81,4.69,7.46,5.56,8.3
3416 融程電 (上市電腦及週邊設備業),38.08,13.75,3.54,30.75,12.1,27.0,-25.48,24.25,1.87,27.19,21.14,-5.49,4.5,11.34,19.72,-22.1,11.03,17.0,17.49,6.28,11.33,33.14,23.0,2.81,5.82,27.98,14.56,29.19,10.86,11.96,29.99,-9.66,9.47,-15.8,28.32,34.64,5.16,56.57,6.98,67.96,-11.75,79.36,53.85,-27.47,12.83,11.87,-22.96,18.4
電腦及週邊設備業,2.27,-1.98,1.74,1.41,2.28,2.56,6.35,1.83,-2.57,4.53,3.94,-0.48,-1.33,3.02,0.77,-2.19,-0.95,6.44,6.26,4.28,2.53,4.53,6.78,1.3,-1.13,0.19,2.87,1.25,3.92,2.09,3.22,3.27,0.89,1.08,2.9,0.14,0.88,0.81,4.64,6.13,0.39,3.92,5.2,0.02,-0.55,0.26,0.43,0.62
