公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,45275.0,17488.0,11910.0,11150.0,16782.0,-19892.0,31823.0,11288.0,9518.0,1059.0,6987.0,-16290.0,-17719.0,16298.0,-37855.0,1027.0,46263.0,27149.0,-2892.0,66536.0,53440.0,41962.0,-4885.0,47491.0,43667.0,-1138.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),359853.0,30195.0,96795.0,42684.0,60734.0,202651.0,-122964.0,137631.0,-280684.0,-183735.0,-45825.0,-80527.0,-266201.0,209060.0,542175.0,-221063.0,8057.0,273169.0,372489.0,50102.0,446790.0,342060.0,147926.0,151091.0,58652.0,-80550.0,10848.0,172263.0,43482.0,55564.0,132474.0,161984.0,13676.0,-41985.0,78815.0,126551.0,8778.0,191086.0,219506.0,76488.0,237470.0,106412.0,314657.0,-87082.0,42833.0,-231120.0,-114189.0,-105840.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,38108.0,,163105.0,11397.0,86183.0,31563.0,-89037.0,52751.0,199555.0,-98444.0,337.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),77742.0,80843.0,-52880.0,-52156.0,-1442.0,114157.0,52285.0,-11711.0,-113422.0,58648.0,43868.0,-55331.0,-29248.0,-146997.0,13394.0,81576.0,-10565.0,100121.0,66063.0,77926.0,80330.0,133527.0,33817.0,190406.0,-21014.0,-26212.0,29453.0,-18050.0,15935.0,-100818.0,70292.0,37106.0,6977.0,-77874.0,-88753.0,-151887.0,-85379.0,-31287.0,6357.0,1095.0,-15757.0,20143.0,-44885.0,-26155.0,-90140.0,-12127.0,-32982.0,13044.0
2397 友通 (上市電腦及週邊設備業),-56507.0,8803.0,212974.0,403873.0,346519.0,360920.0,492636.0,76864.0,83307.0,-61822.0,404285.0,104562.0,-537765.0,-292266.0,-327846.0,-218265.0,-159875.0,604064.0,396097.0,512275.0,397454.0,372755.0,291410.0,177346.0,273134.0,231425.0,255963.0,-152841.0,-35571.0,60998.0,7715.0,10870.0,-41567.0,342316.0,241986.0,325371.0,-190073.0,359960.0,132366.0,65372.0,59632.0,302918.0,-53439.0,84113.0,-86667.0,542341.0,-1531.0,880043.0
8234 新漢 (上櫃電腦及週邊設備業),57577.0,87437.0,-154796.0,93045.0,150849.0,141877.0,33400.0,338735.0,-5078.0,238873.0,354463.0,-28974.0,59689.0,-420642.0,-169695.0,-145979.0,121458.0,157136.0,295469.0,300306.0,132561.0,332333.0,536775.0,154638.0,-77029.0,-113917.0,137903.0,83182.0,63519.0,40941.0,105608.0,118075.0,-62672.0,-171418.0,167814.0,101824.0,-94260.0,147548.0,47793.0,155245.0,-20786.0,-25492.0,-251605.0,142485.0,-30620.0,-73.0,119231.0,-182576.0
2395 研華 (上市電腦及週邊設備業),-472967.0,780964.0,1785980.0,1048079.0,-139921.0,4208909.0,1078402.0,-254896.0,1128194.0,6517114.0,688154.0,1043076.0,590542.0,4935026.0,2562923.0,-1035943.0,1628766.0,5834276.0,3304175.0,-1020171.0,1877723.0,8389850.0,417258.0,508615.0,922824.0,7267264.0,1812148.0,784845.0,1258792.0,1255389.0,1760655.0,616358.0,1248230.0,1057457.0,1989196.0,1385854.0,1483951.0,1015434.0,2018920.0,1768679.0,1311710.0,2032531.0,2901655.0,-420826.0,1724151.0,2180931.0,339752.0,4519050.0
6166 凌華 (上市電腦及週邊設備業),-149754.0,-19168.0,49509.0,253806.0,187166.0,413222.0,678743.0,803428.0,-494961.0,41118.0,303877.0,257230.0,-246904.0,-564057.0,-615150.0,-88180.0,-71377.0,509726.0,581464.0,283202.0,137709.0,-109869.0,260132.0,154050.0,278305.0,192676.0,543338.0,175544.0,40747.0,280317.0,260149.0,255087.0,8142.0,93392.0,141212.0,580751.0,18635.0,24326.0,284705.0,443988.0,-227756.0,373686.0,97952.0,363299.0,158413.0,34217.0,-1821.0,133082.0
3088 艾訊 (上櫃電腦及週邊設備業),226170.0,207527.0,343946.0,-125885.0,102524.0,71680.0,58791.0,-32426.0,113929.0,126947.0,333046.0,-306295.0,-91341.0,210135.0,590632.0,-464227.0,128345.0,125327.0,451234.0,-105468.0,76479.0,590282.0,340546.0,216916.0,80731.0,302074.0,396413.0,-1504.0,95174.0,-54157.0,103583.0,119300.0,72501.0,56731.0,31907.0,192487.0,20370.0,113651.0,246338.0,29530.0,115830.0,237639.0,82747.0,45189.0,-116123.0,151477.0,-57724.0,154514.0
6579 研揚 (上市電腦及週邊設備業),176657.0,-75542.0,45402.0,279295.0,190950.0,252907.0,16394.0,134887.0,-60941.0,222533.0,419612.0,201505.0,-333335.0,-160903.0,-96299.0,199566.0,-15344.0,417532.0,204448.0,646370.0,359615.0,835221.0,225621.0,759138.0,284801.0,-251587.0,334478.0,,,,,,,,,,,,,,240541.0,177458.0,342822.0,-65809.0,141617.0,230474.0,-57390.0,396610.0
