公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,32079.0,23815.0,19084.0,13221.0,21023.0,13216.0,13110.0,23234.0,18580.0,12865.0,2932.0,11889.0,9132.0,16385.0,2906.0,12383.0,19774.0,33027.0,9348.0,17772.0,27376.0,21723.0,-3076.0,20303.0,28445.0,14916.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),65805.0,7069.0,15365.0,56856.0,30883.0,32991.0,20108.0,41314.0,-16967.0,-39969.0,-24068.0,-18068.0,19443.0,49825.0,105068.0,180250.0,209422.0,318378.0,285069.0,199299.0,68823.0,114274.0,72892.0,-4176.0,81816.0,76602.0,-44928.0,67166.0,58303.0,96995.0,87732.0,91506.0,137478.0,88295.0,115319.0,162405.0,88783.0,146210.0,131406.0,195578.0,268455.0,202813.0,125264.0,137683.0,73584.0,158101.0,28233.0,81407.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,112828.0,,114392.0,45519.0,21186.0,43004.0,24536.0,55063.0,54277.0,57130.0,51252.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-25461.0,4872.0,249.0,15717.0,19866.0,15513.0,14950.0,-13186.0,29023.0,13333.0,6874.0,-11018.0,15172.0,1107.0,26379.0,-2537.0,25974.0,30189.0,76318.0,43262.0,43190.0,16318.0,49000.0,-5229.0,4383.0,10366.0,95393.0,1261.0,34547.0,18498.0,21359.0,14167.0,35594.0,4578.0,25782.0,-13980.0,24542.0,-33304.0,34534.0,7525.0,-300.0,-180.0,71970.0,-27901.0,37681.0,-90388.0,-28270.0,17725.0
2397 友通 (上市電腦及週邊設備業),97206.0,240431.0,166078.0,205924.0,251793.0,206630.0,122404.0,202575.0,128439.0,169785.0,153254.0,122418.0,195005.0,160682.0,48225.0,139639.0,163410.0,222417.0,202445.0,199107.0,123861.0,76928.0,144890.0,74256.0,119949.0,183882.0,279764.0,43665.0,72036.0,84971.0,57513.0,80330.0,94785.0,88614.0,94236.0,98509.0,111319.0,102076.0,85297.0,206515.0,166566.0,157889.0,121848.0,144260.0,155177.0,164168.0,175375.0,199763.0
8234 新漢 (上櫃電腦及週邊設備業),36739.0,-19213.0,62222.0,44335.0,58138.0,78172.0,123623.0,23516.0,55987.0,53375.0,75775.0,-37314.0,14526.0,107756.0,91132.0,82875.0,118203.0,99498.0,109369.0,169538.0,54430.0,58531.0,-60180.0,-90677.0,-90799.0,7362.0,28982.0,52582.0,48594.0,18440.0,46194.0,65186.0,101099.0,107338.0,30365.0,38119.0,72406.0,39192.0,111682.0,57837.0,61337.0,74696.0,130862.0,24006.0,26317.0,47662.0,-26090.0,34734.0
2395 研華 (上市電腦及週邊設備業),1794084.0,1941451.0,1976946.0,1858169.0,2332835.0,2632589.0,2409909.0,1653622.0,2841226.0,2264400.0,2277305.0,2286861.0,2197345.0,2607617.0,2708600.0,3014675.0,3107626.0,3378386.0,3031490.0,3501502.0,3429756.0,2505678.0,2691314.0,1917469.0,2166214.0,2452202.0,2513884.0,964982.0,1295174.0,1248106.0,1159888.0,1365375.0,1511668.0,1335888.0,1295554.0,1351158.0,1632235.0,1324084.0,1621030.0,1482496.0,1677758.0,1734477.0,1736762.0,1503299.0,1753133.0,1727961.0,1642593.0,1906409.0
6166 凌華 (上市電腦及週邊設備業),94430.0,70404.0,133288.0,166888.0,160800.0,130679.0,308823.0,159306.0,66249.0,85883.0,163408.0,44298.0,-16425.0,-39483.0,150108.0,1470.0,163507.0,257303.0,176736.0,141176.0,87061.0,59027.0,35784.0,-121735.0,-4371.0,41987.0,145802.0,55921.0,194758.0,153401.0,110901.0,126143.0,273658.0,187348.0,103989.0,269017.0,220983.0,152661.0,142742.0,55804.0,119323.0,117410.0,303354.0,109152.0,113033.0,158371.0,4611.0,81574.0
3088 艾訊 (上櫃電腦及週邊設備業),58886.0,156792.0,151063.0,95518.0,144710.0,134720.0,123887.0,64493.0,129249.0,102486.0,107723.0,68456.0,72585.0,183157.0,92808.0,156733.0,98974.0,210072.0,262941.0,167916.0,286618.0,252456.0,237148.0,165027.0,207099.0,315154.0,216825.0,78102.0,88705.0,107117.0,72807.0,137030.0,137614.0,120014.0,84032.0,129928.0,114567.0,146680.0,148633.0,149244.0,94464.0,139751.0,107335.0,73667.0,51437.0,109412.0,122726.0,125835.0
6579 研揚 (上市電腦及週邊設備業),80381.0,114236.0,131063.0,163715.0,197541.0,153760.0,204943.0,119008.0,204381.0,137122.0,160081.0,51454.0,66523.0,137356.0,293308.0,200507.0,378666.0,266430.0,348487.0,236707.0,262062.0,258891.0,248763.0,90577.0,195649.0,80158.0,181464.0,,,,,,,,,,,,,,323712.0,177785.0,191918.0,103233.0,175541.0,99158.0,49797.0,168977.0
3479 安勤 (上櫃電腦及週邊設備業),102746.0,63321.0,130744.0,77778.0,153914.0,197117.0,202706.0,121827.0,38098.0,60166.0,47909.0,39183.0,35577.0,81642.0,101225.0,152409.0,189656.0,175344.0,254967.0,271944.0,217598.0,283241.0,172193.0,121753.0,192677.0,219620.0,172865.0,63535.0,50133.0,83122.0,47047.0,44850.0,60359.0,63033.0,72034.0,73259.0,57821.0,131686.0,117262.0,131888.0,133961.0,103337.0,68679.0,58606.0,63798.0,144324.0,67009.0,81875.0
