公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,18.06,14.71,18.64,16.17,20.09,15.98,14.82,21.09,18.76,12.54,4.08,13.86,8.25,13.26,3.32,10.52,12.26,19.64,8.22,11.48,14.43,12.75,-2.93,11.22,14.41,8.15,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),5.75,0.75,1.55,6.01,3.39,3.86,1.79,3.97,-1.84,-3.83,-1.84,-1.73,0.98,3.53,8.27,12.15,14.25,16.95,14.67,12.32,4.47,7.57,5.48,-0.42,6.22,5.38,-3.09,10.51,9.37,13.85,11.06,11.31,12.88,9.67,11.79,14.42,8.24,14.19,12.74,17.6,20.39,16.0,11.06,13.97,7.8,11.39,3.16,7.42
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,19.22,,16.46,15.83,8.64,17.04,9.1,16.23,15.4,16.31,12.71,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-5.73,1.27,0.07,4.64,4.93,3.73,3.42,-4.66,6.63,3.52,1.67,-3.65,3.77,0.3,5.99,-0.77,6.14,6.62,12.86,11.26,9.87,4.23,10.56,-1.98,1.22,2.84,16.5,0.49,9.86,5.67,6.09,4.58,9.07,1.42,5.94,-5.11,6.78,-10.72,7.04,1.95,-0.08,-0.06,14.92,-9.4,9.34,-23.34,-9.79,4.66
2397 友通 (上市電腦及週邊設備業),11.96,16.83,13.32,14.26,14.41,12.92,5.46,9.31,6.29,8.32,7.32,6.1,5.96,4.3,1.15,3.61,4.24,5.43,4.66,5.21,3.29,1.96,-6.25,3.9,5.53,7.28,9.37,9.11,11.65,12.57,10.69,12.32,14.5,13.72,13.94,14.0,12.79,13.18,11.22,21.42,16.36,16.78,13.53,15.68,15.61,16.58,15.14,14.49
8234 新漢 (上櫃電腦及週邊設備業),2.15,-1.29,3.1,2.83,3.15,4.58,5.9,1.53,3.37,3.21,4.12,-2.8,0.95,5.92,4.33,4.8,5.94,4.82,5.12,10.19,3.73,4.18,-4.84,-7.78,-7.82,0.49,1.82,5.31,4.56,1.9,4.05,5.42,7.63,7.6,2.1,2.93,5.27,3.06,7.19,4.54,4.36,4.71,7.11,1.67,1.73,2.81,-1.81,2.03
2395 研華 (上市電腦及週邊設備業),15.26,15.35,15.99,15.11,16.69,18.3,17.87,14.67,20.27,17.35,17.82,17.38,15.46,16.82,17.2,18.7,18.47,18.15,17.64,20.13,20.14,16.7,17.78,13.82,14.79,16.4,15.41,14.56,16.59,15.7,14.02,16.76,16.29,14.64,14.11,15.38,16.28,14.03,16.62,14.72,15.66,16.66,16.07,15.02,15.37,15.42,14.47,15.42
6166 凌華 (上市電腦及週邊設備業),3.43,2.62,4.4,6.27,6.28,5.44,10.74,6.42,3.08,3.76,6.01,2.11,-0.73,-1.72,4.96,0.06,5.86,8.41,5.38,4.9,2.96,2.21,1.22,-5.93,-0.17,1.73,4.75,4.14,10.72,8.97,6.92,7.56,12.14,9.19,4.99,12.32,9.23,6.54,6.62,2.7,5.08,5.1,10.62,4.74,4.15,5.48,0.2,3.26
3088 艾訊 (上櫃電腦及週邊設備業),6.15,11.3,11.89,8.61,12.1,11.48,9.83,5.74,11.49,8.92,8.95,7.07,6.59,11.84,6.39,10.56,6.2,12.19,14.48,10.64,15.49,15.3,14.62,11.71,12.79,16.49,11.11,9.64,10.36,10.35,7.35,12.52,12.16,11.14,7.89,11.36,11.14,11.92,10.71,11.61,8.89,11.7,9.21,7.04,5.38,10.58,10.75,10.39
6579 研揚 (上市電腦及週邊設備業),6.31,8.2,8.87,10.62,12.31,10.74,13.04,8.51,12.76,9.22,11.35,4.06,4.74,8.81,13.86,10.27,18.16,12.94,15.45,12.27,12.75,12.55,12.28,5.03,10.2,4.62,10.49,,,,,,,,,,,,,,11.11,11.74,14.35,7.72,11.97,7.43,3.89,10.25
3479 安勤 (上櫃電腦及週邊設備業),7.93,5.46,9.32,6.36,10.58,13.08,10.35,7.94,3.84,5.52,4.46,3.68,3.11,6.28,7.13,9.21,10.16,8.6,10.99,13.05,10.94,12.5,9.09,7.81,10.06,10.14,8.81,8.75,6.24,8.03,5.61,5.61,6.73,6.46,6.66,7.46,6.52,10.8,8.41,9.41,9.91,8.63,6.21,5.2,5.55,11.27,5.68,6.41
6414 樺漢 (上市電腦及週邊設備業),5.04,2.46,4.5,3.23,3.82,4.27,4.94,3.45,4.71,4.66,4.52,2.97,4.06,3.84,2.56,3.01,4.23,3.77,0.02,4.5,5.08,4.61,3.13,2.96,3.19,4.55,,,14.88,12.89,14.05,12.15,15.5,12.0,11.11,11.04,11.04,10.53,10.44,13.12,12.12,10.4,8.05,8.06,4.71,5.26,5.5,4.63
6570 維田 (上櫃電腦及週邊設備業),2.99,5.73,15.99,14.86,14.42,9.56,11.23,7.12,8.87,6.75,4.94,8.52,13.88,16.51,14.7,11.32,13.79,21.47,16.92,15.86,15.85,11.12,4.37,9.31,9.89,11.92,6.06,,,,,,,,,,4.63,,12.23,,9.58,,9.32,,8.97,7.53,6.25,8.23
6245 立端 (上櫃通信網路業),9.95,6.64,9.34,7.55,7.48,9.92,9.6,6.94,8.02,11.08,8.41,7.83,4.92,7.12,11.53,6.47,11.09,13.14,15.28,15.2,14.12,13.43,12.61,10.94,9.23,14.14,16.88,8.1,7.3,8.93,6.71,6.98,4.52,5.6,7.06,7.42,3.79,8.31,5.72,7.22,4.74,7.31,8.38,7.43,4.88,8.12,4.69,8.2
通信網路業,-3.19,2.53,-63.19,-56.93,-1.93,-9.94,-4.64,-11.69,-9.77,-21.24,-7.2,-13.91,-19.52,-8.24,46.48,-4.82,-0.41,-1.96,-0.86,-3.64,-6.59,-14.95,-12.25,-26.3,-10.73,-6.2,-1.96,0.16,4.88,2.85,2.23,2.52,4.06,1.15,-1.04,-1.68,-15.26,-10.47,-2.51,-1.52,-10.43,-140.67,-14.11,-3.93,-0.51,0.15,-8.9,-86.22
3416 融程電 (上市電腦及週邊設備業),10.93,10.0,15.39,16.21,16.82,16.31,15.92,16.21,16.51,15.98,14.84,17.81,17.64,19.43,14.89,15.56,14.93,20.81,22.1,21.77,21.99,22.53,22.69,21.69,21.06,20.13,16.86,14.48,16.48,17.62,14.61,13.48,15.35,19.17,14.32,16.44,16.45,18.77,15.31,18.2,18.18,15.45,11.44,14.31,9.95,10.93,12.9,13.32
電腦及週邊設備業,2.75,1.53,3.25,1.48,1.39,4.54,3.8,-0.2,3.19,5.63,4.57,4.81,4.48,4.66,5.5,3.3,4.64,3.4,3.14,1.49,1.98,2.97,-0.25,1.59,2.31,2.48,-6.62,2.26,3.67,3.33,2.5,2.79,3.81,3.19,4.58,3.24,2.33,3.88,4.46,4.63,4.07,6.0,4.67,3.4,2.74,3.56,1.86,2.67
