公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),341.72,248.59,291.33,265.41,220.44,389.45,470.68,261.39,236.59,359.96,394.64,239.25,225.39,250.44,222.08,145.86,139.9,148.76,178.59,152.75,162.52,218.96,218.82,206.23,144.45,211.89,250.6,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),142.3,99.25,119.27,116.53,103.85,80.15,73.32,123.81,155.58,172.89,249.83,121.61,148.75,133.7,117.46,93.73,92.34,114.31,154.99,203.49,182.48,255.31,170.87,147.91,107.85,162.96,166.65,177.48,158.68,176.68,185.74,193.99,126.52,107.93,114.78,170.59,138.24,145.97,173.25,152.34,125.36,142.33,178.21,147.08,102.32,116.57,128.03,105.8
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,112.03,,103.03,,208.86,166.15,172.12,248.77,359.48,227.58,176.55,173.39,195.33,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),157.82,166.73,116.72,109.24,105.46,116.12,111.61,132.51,115.32,126.02,128.95,138.2,138.86,124.03,135.75,159.36,155.82,164.33,159.51,160.4,157.54,177.16,179.44,187.23,217.32,203.97,104.72,117.07,131.83,136.37,147.6,132.22,135.34,119.45,227.5,195.29,236.0,206.16,138.32,127.99,126.39,120.75,153.57,131.39,132.87,147.03,148.52,121.88
2397 友通 (上市電腦及週邊設備業),261.51,155.76,176.01,193.05,135.29,169.52,138.18,147.06,123.76,134.46,142.79,138.56,90.25,76.63,102.96,75.53,81.32,90.78,90.29,86.67,92.5,91.59,120.18,113.39,117.52,101.35,117.83,591.42,363.88,627.13,537.86,526.03,415.68,560.61,488.13,399.51,266.75,489.31,421.27,341.62,251.74,366.86,354.07,363.29,223.47,282.88,239.93,188.83
8234 新漢 (上櫃電腦及週邊設備業),64.93,62.42,58.94,58.41,61.21,52.99,63.01,61.96,60.23,67.11,74.16,67.67,57.23,51.15,53.05,51.76,53.58,82.52,80.59,84.92,85.77,92.73,91.52,96.17,89.19,90.91,90.7,105.45,89.33,83.74,89.49,85.61,86.0,88.95,97.11,92.45,77.56,81.86,85.3,83.39,77.57,72.55,77.97,71.9,68.94,65.0,65.83,59.06
2395 研華 (上市電腦及週邊設備業),153.52,116.36,146.62,149.27,119.03,148.23,167.66,113.02,123.17,165.3,185.79,129.15,124.48,135.23,146.45,107.47,112.75,136.61,150.1,119.86,140.55,180.79,197.06,142.17,158.51,204.11,203.26,183.33,139.0,153.43,155.16,166.66,124.99,148.39,168.18,181.43,133.68,157.74,143.0,150.0,115.06,134.02,136.28,155.14,121.91,140.09,154.88,134.44
6166 凌華 (上市電腦及週邊設備業),105.42,85.25,102.58,103.1,101.37,107.69,115.92,118.27,106.34,93.11,113.17,84.04,63.11,51.2,63.82,61.53,73.89,75.68,97.77,77.67,80.06,82.69,96.84,86.69,88.76,87.42,100.85,115.74,107.95,106.48,120.8,106.36,92.7,94.14,105.96,101.6,90.36,98.72,94.11,120.09,103.42,104.19,124.17,111.08,91.45,87.39,95.52,85.35
3088 艾訊 (上櫃電腦及週邊設備業),121.71,98.25,105.24,105.66,101.85,106.37,166.37,161.96,126.54,140.97,149.5,127.07,97.05,112.9,93.39,72.29,69.35,76.22,88.03,74.41,84.5,159.34,165.26,139.74,142.23,161.08,218.52,149.57,106.87,129.66,156.23,137.64,123.79,142.42,147.56,150.98,110.16,119.84,128.63,171.28,128.67,152.03,201.83,214.7,160.79,202.25,115.39,107.32
6579 研揚 (上市電腦及週邊設備業),381.02,270.26,336.12,324.64,217.02,279.74,309.07,309.98,233.02,327.29,358.26,323.8,202.53,222.14,232.69,213.64,169.74,187.84,225.22,258.42,216.06,301.3,341.14,323.87,216.04,301.28,358.82,,,,,,,,,,,,203.68,,152.84,180.37,216.04,239.38,204.39,406.46,448.93,312.73
