公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,9.41,5.39,3.71,3.01,3.56,0.99,2.47,2.57,1.86,0.39,1.05,1.14,1.48,2.23,1.43,2.45,3.96,2.84,1.07,3.15,4.11,1.37,1.02,2.21,1.48,3.03,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1.03,0.67,0.35,1.51,0.87,0.15,0.95,0.2,0.52,-0.01,0.0,0.0,0.02,0.06,2.01,1.65,2.4,3.95,2.37,1.87,1.52,1.97,-0.3,1.39,1.21,0.61,0.68,2.11,1.57,2.69,2.45,2.81,3.52,2.63,3.44,3.86,1.55,4.28,3.2,4.09,4.97,3.9,2.51,1.63,1.47,3.75,0.81,3.83
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,12.41,,10.14,3.47,2.4,4.49,0.97,4.9,3.24,2.22,2.5,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-2.29,1.02,0.6,0.57,0.92,0.3,-0.18,-1.13,0.56,0.66,0.02,-0.3,0.33,-0.01,0.66,0.41,0.59,1.71,1.05,0.97,1.45,0.93,-0.01,0.48,1.12,0.31,2.16,0.51,2.93,0.94,1.59,0.84,1.56,0.83,2.83,-1.27,0.78,0.02,2.24,0.07,0.13,-1.13,2.14,-3.17,2.03,8.74,-1.46,0.87
2397 友通 (上市電腦及週邊設備業),1.89,3.95,2.85,3.11,3.47,2.95,1.44,1.81,1.12,1.58,1.33,1.18,1.37,1.02,3.66,0.86,1.13,1.52,1.02,0.99,0.82,0.3,0.86,0.61,0.89,1.13,1.95,1.7,2.04,1.96,1.76,2.2,2.12,2.48,2.93,2.01,2.39,3.26,2.08,3.81,3.25,2.87,3.07,1.9,2.95,3.24,3.05,3.35
8234 新漢 (上櫃電腦及週邊設備業),0.85,0.78,1.14,0.6,0.93,0.64,0.99,0.19,0.68,0.65,1.3,-0.56,0.35,1.28,1.25,1.2,1.36,7.86,0.62,1.66,0.3,1.2,-0.89,-0.31,0.05,0.12,0.87,2.12,1.54,0.28,1.34,1.76,2.27,6.07,1.28,0.05,0.93,1.6,1.72,0.91,1.22,0.72,1.77,-0.83,1.68,0.93,0.3,0.53
2395 研華 (上市電腦及週邊設備業),4.08,3.64,3.81,3.57,3.96,4.54,3.68,2.66,4.61,3.9,3.53,3.71,3.27,4.11,4.07,4.32,3.91,4.98,3.93,4.35,4.3,3.73,3.34,2.81,2.94,3.24,3.71,3.34,4.27,4.26,3.89,4.08,4.02,4.41,4.08,3.78,4.0,3.74,4.11,3.8,4.07,4.14,3.93,3.18,4.42,4.03,3.3,3.91
6166 凌華 (上市電腦及週邊設備業),0.96,0.57,1.45,1.32,1.3,1.17,1.48,1.02,0.31,0.66,0.85,0.02,0.59,-0.42,0.78,0.38,3.24,1.66,0.61,0.53,0.38,0.72,0.54,-0.7,-0.81,0.25,1.4,0.86,3.16,2.12,1.45,1.95,3.3,2.38,2.01,2.83,2.27,2.14,1.29,0.73,1.14,0.62,2.93,0.29,1.44,1.91,0.28,0.7
3088 艾訊 (上櫃電腦及週邊設備業),1.19,2.72,2.86,2.78,4.02,2.4,1.74,1.61,2.58,1.41,1.63,2.89,1.04,2.93,1.79,2.51,1.47,3.38,3.31,2.02,3.48,3.46,2.3,2.15,2.29,3.1,3.18,3.35,3.4,3.55,2.6,4.67,3.93,4.22,3.02,3.5,2.9,5.58,3.93,3.8,2.79,3.36,2.93,0.93,22.36,2.53,2.17,2.39
6579 研揚 (上市電腦及週邊設備業),2.9,5.51,0.81,2.58,1.06,0.97,2.15,-0.36,2.65,0.93,1.58,0.45,0.3,1.02,3.4,1.42,2.82,3.45,2.97,2.91,2.76,2.36,0.82,3.2,1.82,0.26,2.4,,,,,,,,,,,,,,6.9,3.79,3.6,1.9,4.73,2.66,4.7,1.5
