公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,,,,-53.97,,-48.91,-13.58,34.71,-5.35,24.0,-18.76,-22.09,11.8,20.48,21.73,37.17,45.65,36.05,30.02,31.58,17.57,1.31,-7.56,16.88,4.08,7.43,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1.17,0.05,-13.21,5.88,-3.42,-22.02,13.3,9.83,0.9,22.01,15.84,0.63,114.92,35.38,-2.66,41.83,-25.72,32.96,53.01,8.97,4.73,-19.62,-31.49,-39.01,-14.49,-5.73,9.27,26.62,71.65,30.39,23.33,39.17,0.95,12.86,5.45,-1.33,22.16,22.99,9.74,-11.28,-28.31,9.51,-9.3,-20.97
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,,,,,-58.21,,-61.22,17.94,43.67,38.8,49.68,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),-7.92,-4.79,-14.99,17.47,5.0,9.37,15.83,-16.6,8.6,-8.98,-6.08,6.78,-8.17,-3.69,7.22,8.61,5.23,25.13,34.72,17.19,3.36,-15.5,-21.82,-31.45,-17.65,-5.41,24.58,20.96,12.01,-1.23,23.85,-11.54,-7.83,-3.54,13.0,40.68,-0.63,2.49,-1.66,-22.9,12.21,21.68,-2.77,-1.82
2397 友通 (上市電腦及週邊設備業),-9.78,43.65,53.38,24.69,22.31,16.04,79.83,50.72,16.81,27.57,-6.66,-7.73,60.32,83.29,100.36,92.76,17.76,9.45,3.68,-1.31,-2.36,-4.19,-153.34,-50.1,-42.36,-35.62,228.76,36.01,5.71,-4.51,25.63,7.93,33.14,19.96,12.48,36.98,16.99,21.49,18.49,-4.56,-2.33,5.22,25.87,39.22
8234 新漢 (上櫃電腦及週邊設備業),-7.12,-2.49,17.23,8.64,24.36,-0.1,4.56,-1.88,-9.94,-2.48,-12.23,-13.24,-8.29,9.36,14.37,29.4,30.49,13.59,1.52,-3.56,-26.67,-32.22,-41.83,-29.99,-20.41,7.22,28.27,21.49,24.28,45.23,26.47,7.92,3.6,-9.21,7.61,-1.95,2.3,23.6,18.55,12.74,8.32,6.97,0.4,0.65
2395 研華 (上市電腦及週邊設備業),8.84,10.87,5.16,8.33,10.52,16.36,9.05,-8.36,0.3,-9.26,-5.24,16.76,1.37,18.83,23.2,22.48,18.4,20.04,9.16,7.92,1.21,-19.38,-11.92,-20.21,-14.0,-0.38,7.77,22.88,18.82,14.78,11.0,7.83,8.07,3.43,6.19,14.67,6.84,10.32,10.81,-0.67,6.47,7.6,13.48,10.33
6166 凌華 (上市電腦及週邊設備業),-3.5,-1.4,9.86,17.78,-4.61,-4.22,-5.03,-6.83,-15.88,-4.84,-5.46,-15.43,4.96,0.34,11.24,23.07,23.4,33.57,8.7,11.55,5.44,-12.72,-11.07,-28.68,-14.22,-8.95,5.01,23.54,24.14,19.16,30.16,30.84,6.15,14.49,3.45,-5.52,-1.94,-1.31,32.42,11.59,15.91,25.43,-1.85,-13.23
3088 艾訊 (上櫃電腦及週邊設備業),-17.79,45.2,32.67,-2.81,-13.81,-3.13,-0.8,1.35,-5.93,-2.05,-4.46,-13.83,-2.12,34.62,20.63,53.28,44.87,11.38,24.99,6.24,16.0,-4.22,-10.67,-10.68,-12.49,15.84,20.39,35.14,32.21,4.07,7.63,4.53,-9.17,14.28,30.25,12.31,3.36,-2.93,-16.08,-18.54,-10.04,-13.46,9.02,17.13
6579 研揚 (上市電腦及週邊設備業),-4.85,-5.0,16.05,20.3,15.2,-13.2,6.37,-9.28,-0.14,3.9,-10.22,-9.42,-12.33,4.9,50.04,54.09,48.46,32.03,6.56,-1.17,-1.41,0.18,-10.21,-6.55,-6.67,-15.94,-14.56,,,,,,,,,,,,,,-49.68,-11.82,-4.17,23.47
