公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,177639.0,161911.0,102368.0,81759.0,104659.0,82725.0,88464.0,110141.0,99061.0,102580.0,71870.0,85806.0,110748.0,123592.0,87484.0,117699.0,161309.0,168146.0,113746.0,154869.0,189659.0,170354.0,105149.0,181008.0,197402.0,183018.0,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),1145371.0,944296.0,994112.0,946665.0,912039.0,855322.0,1126330.0,1039700.0,920241.0,1043574.0,1304755.0,1046291.0,1977779.0,1412756.0,1270029.0,1483935.0,1469185.0,1878394.0,1943317.0,1617116.0,1538648.0,1509773.0,1331325.0,986318.0,1315765.0,1423326.0,1454741.0,639054.0,621927.0,700191.0,793314.0,809163.0,1067540.0,912989.0,978359.0,1126107.0,1077669.0,1030425.0,1031670.0,1111080.0,1316502.0,1267324.0,1132179.0,985726.0,943780.0,1387789.0,894064.0,1096780.0
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,586942.0,,694967.0,287602.0,245274.0,252429.0,269500.0,339191.0,352378.0,350381.0,403382.0,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),444285.0,384159.0,377693.0,339052.0,403366.0,415917.0,437494.0,282773.0,438059.0,378580.0,410904.0,301938.0,402274.0,364614.0,440586.0,327934.0,423311.0,456250.0,593560.0,384322.0,437514.0,385518.0,464073.0,263453.0,360308.0,364678.0,578165.0,255774.0,350496.0,325958.0,350600.0,309378.0,392581.0,321961.0,434201.0,273687.0,361845.0,310575.0,490633.0,385014.0,359572.0,318315.0,482501.0,296865.0,403480.0,387324.0,288633.0,380287.0
2397 友通 (上市電腦及週邊設備業),812715.0,1428254.0,1246533.0,1443911.0,1746859.0,1599336.0,2241678.0,2176321.0,2040449.0,2040282.0,2092470.0,2008118.0,3271167.0,3739571.0,4192420.0,3870828.0,3852164.0,4093050.0,4346751.0,3820041.0,3761152.0,3921424.0,-2318445.0,1906186.0,2167776.0,2524804.0,2985126.0,479433.0,618232.0,676127.0,537936.0,652077.0,653522.0,645643.0,675829.0,703815.0,870126.0,774510.0,760186.0,964051.0,1017943.0,940947.0,900777.0,920057.0,994260.0,990022.0,1158041.0,1378294.0
8234 新漢 (上櫃電腦及週邊設備業),1710035.0,1484249.0,2004681.0,1566135.0,1845822.0,1705388.0,2096063.0,1536661.0,1662393.0,1663122.0,1839718.0,1333227.0,1524593.0,1818737.0,2104023.0,1725262.0,1989421.0,2065914.0,2136100.0,1663790.0,1458826.0,1400320.0,1242573.0,1164778.0,1161066.0,1501418.0,1593803.0,990688.0,1066783.0,972890.0,1141162.0,1203586.0,1325829.0,1412966.0,1443244.0,1298918.0,1373580.0,1282861.0,1553071.0,1273637.0,1405207.0,1585601.0,1841165.0,1435899.0,1522153.0,1696140.0,1441586.0,1707123.0
2395 研華 (上市電腦及週邊設備業),11759609.0,12645444.0,12366224.0,12300590.0,13976014.0,14382282.0,13485776.0,11272189.0,14018169.0,13049851.0,12779199.0,13161403.0,14209687.0,15506864.0,15744096.0,16119517.0,16824495.0,18613912.0,17186777.0,17395607.0,17028135.0,15006349.0,15137606.0,13879270.0,14643762.0,14949502.0,16313759.0,6629587.0,7808637.0,7949357.0,8272453.0,8146552.0,9278013.0,9124537.0,9182597.0,8784667.0,10026947.0,9437752.0,9751216.0,10073400.0,10712512.0,10411332.0,10804954.0,10006239.0,11406108.0,11202795.0,11355195.0,12359655.0
6166 凌華 (上市電腦及週邊設備業),2756464.0,2682625.0,3028282.0,2662053.0,2559000.0,2400181.0,2875836.0,2480125.0,2152652.0,2284109.0,2718792.0,2097421.0,2259353.0,2291856.0,3024424.0,2581384.0,2787997.0,3061122.0,3287672.0,2879443.0,2939540.0,2671859.0,2923677.0,2053728.0,2521618.0,2432740.0,3070252.0,1351234.0,1816428.0,1710158.0,1602014.0,1669323.0,2254937.0,2037800.0,2085244.0,2184177.0,2393703.0,2333149.0,2157094.0,2063601.0,2347277.0,2302493.0,2856370.0,2302774.0,2720645.0,2888011.0,2260180.0,2506021.0
3088 艾訊 (上櫃電腦及週邊設備業),957637.0,1387877.0,1270455.0,1109217.0,1196194.0,1173219.0,1260281.0,1124237.0,1125266.0,1149209.0,1204067.0,968706.0,1101379.0,1547069.0,1452452.0,1484823.0,1595521.0,1723050.0,1815433.0,1577525.0,1850852.0,1650369.0,1621733.0,1409106.0,1619771.0,1911732.0,1952462.0,809989.0,856039.0,1034753.0,990130.0,1094581.0,1131754.0,1076888.0,1065698.0,1144162.0,1027970.0,1230720.0,1388047.0,1285046.0,1062546.0,1194704.0,1164813.0,1046832.0,955825.0,1033935.0,1141235.0,1211077.0
6579 研揚 (上市電腦及週邊設備業),1272952.0,1392935.0,1477260.0,1541269.0,1604614.0,1431128.0,1571369.0,1398201.0,1602325.0,1486895.0,1410764.0,1266555.0,1404716.0,1559749.0,2116684.0,1951691.0,2085452.0,2059391.0,2255542.0,1928838.0,2056104.0,2063003.0,2025258.0,1802503.0,1919052.0,1734104.0,1730372.0,,,,,,,,,,,,,,2914030.0,1514514.0,1337818.0,1336915.0,1466224.0,1335449.0,1281229.0,1648831.0
3479 安勤 (上櫃電腦及週邊設備業),1295433.0,1159140.0,1403528.0,1222952.0,1455302.0,1507414.0,1958441.0,1533624.0,993155.0,1089177.0,1073363.0,1064601.0,1143280.0,1300330.0,1419511.0,1654565.0,1867005.0,2038671.0,2320728.0,2084459.0,1988523.0,2266424.0,1895261.0,1559591.0,1915983.0,2165501.0,1961845.0,726525.0,803905.0,1034784.0,839120.0,800059.0,897312.0,976487.0,1081166.0,982372.0,887469.0,1219667.0,1393778.0,1401743.0,1351559.0,1197112.0,1105892.0,1127501.0,1149289.0,1280435.0,1180614.0,1277365.0
6414 樺漢 (上市電腦及週邊設備業),15128989.0,14674499.0,23483010.0,17605752.0,18724906.0,20632899.0,24542659.0,17867817.0,18559009.0,21132304.0,26532355.0,20191237.0,22805189.0,23413689.0,30146531.0,24272320.0,26839352.0,32160890.0,24955971.0,28491310.0,28961587.0,29962664.0,34225415.0,32717014.0,36321094.0,37712210.0,,,772413.0,861574.0,700565.0,692375.0,955745.0,1300908.0,2103052.0,2386265.0,2613356.0,2797917.0,3259120.0,3118041.0,3574545.0,3821356.0,3957707.0,3653858.0,4232134.0,11889083.0,10824168.0,19980782.0
6570 維田 (上櫃電腦及週邊設備業),131678.0,155062.0,190728.0,187729.0,212259.0,178250.0,194241.0,147936.0,150789.0,153541.0,155629.0,156359.0,216120.0,240499.0,261189.0,227570.0,253210.0,359860.0,296285.0,230534.0,275389.0,226462.0,211433.0,226391.0,241046.0,211351.0,210022.0,,,,,,,,,,258981.0,,291461.0,,285145.0,,275547.0,,291397.0,144749.0,145799.0,140973.0
6245 立端 (上櫃通信網路業),1877840.0,1812889.0,2258704.0,1937571.0,1716521.0,1936371.0,2134335.0,1550942.0,1744008.0,2157965.0,2049767.0,1729189.0,1616142.0,2035535.0,2299644.0,1802707.0,2338418.0,2541727.0,3136234.0,2206539.0,2211135.0,1793033.0,2160630.0,1657611.0,1640348.0,2049592.0,2103069.0,818434.0,916236.0,1023551.0,1146528.0,1009898.0,1053891.0,1104421.0,1367654.0,1176820.0,1298787.0,1362087.0,1601805.0,1387070.0,1579286.0,1446510.0,1707182.0,1401093.0,1519738.0,1635828.0,1522484.0,1866703.0
通信網路業,2959971.23,2573089.73,2862253.23,2606558.74,2547179.96,2753804.59,2704324.29,2305921.69,2441735.78,2789953.52,2982618.76,2622160.22,2634937.21,2771202.37,3096151.13,2815055.9,2964489.76,3301675.19,3541901.05,3059437.78,3029802.17,3113152.89,3398337.05,3004303.29,3200743.37,3217593.09,4232982.64,3551413.64,3865080.74,3740610.25,3577793.53,3280042.36,3485974.46,3488860.33,3516345.76,3321648.71,3033481.15,3126199.49,3152028.69,2945978.47,2829794.6,3121312.37,2959721.08,2825290.05,2737696.09,2957029.04,2619316.82,2745081.16
3416 融程電 (上市電腦及週邊設備業),386907.0,393626.0,426824.0,401343.0,446471.0,411502.0,406279.0,349988.0,371456.0,555825.0,568256.0,584698.0,611139.0,683009.0,622781.0,587714.0,606922.0,763959.0,700701.0,626040.0,688477.0,679051.0,604965.0,700190.0,740249.0,783726.0,833440.0,348833.0,342605.0,415427.0,386284.0,327506.0,370480.0,404923.0,413045.0,381247.0,365977.0,319991.0,450007.0,340383.0,334090.0,311096.0,361118.0,350804.0,332782.0,344393.0,389209.0,355694.0
電腦及週邊設備業,17842889.92,14439938.07,18418623.96,14301086.48,15044752.42,16438916.1,17918398.82,12635767.41,16657812.02,18130589.86,19691891.38,15504765.28,16578353.88,18404080.7,21664962.23,18114452.42,17224535.11,19985328.31,18419520.81,15960684.97,15616720.34,16967780.69,17129622.16,15576327.02,17449043.04,19952376.2,24027065.43,13986303.82,13166740.06,14959598.66,15591904.09,13683472.66,13587406.34,15463299.05,16881089.53,14455374.69,13420598.54,16192902.69,16941541.91,13680113.52,12589447.7,15277925.94,16220416.66,13662422.79,14035632.7,16463450.08,14328704.02,17071284.32
