公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3
6680 鑫創電子 (上櫃電腦及週邊設備業),,0.53,0.41,0.24,0.19,0.22,0.16,0.17,0.19,0.18,0.19,0.13,0.15,0.2,0.22,0.14,0.18,0.24,0.25,0.17,0.23,0.26,0.24,0.15,0.19,0.14,0.12,,,,,,,,,,,,,,,,,,,,,
8050 廣積 (上櫃電腦及週邊設備業),0.23,0.19,0.13,0.13,0.12,0.11,0.15,0.13,0.11,0.12,0.14,0.1,0.19,0.13,0.12,0.14,0.14,0.17,0.16,0.13,0.12,0.11,0.1,0.07,0.1,0.11,0.11,0.22,0.22,0.24,0.26,0.25,0.32,0.27,0.27,0.3,0.27,0.26,0.26,0.27,0.31,0.29,0.25,0.21,0.21,0.28,0.19,0.17
6922 宸曜 (上櫃電腦及週邊設備業),,,,,,,,,,,,,,,,,0.79,,0.82,0.31,0.26,0.28,0.27,0.29,0.23,0.19,0.22,,,,,,,,,,,,,,,,,,,,,
3594 磐儀 (上櫃電腦及週邊設備業),0.16,0.15,0.15,0.14,0.16,0.16,0.17,0.11,0.15,0.12,0.13,0.1,0.13,0.12,0.14,0.1,0.13,0.13,0.16,0.1,0.12,0.1,0.13,0.07,0.11,0.11,0.15,0.23,0.31,0.28,0.29,0.23,0.28,0.22,0.28,0.16,0.2,0.16,0.24,0.18,0.16,0.14,0.2,0.12,0.17,0.15,0.11,0.15
2397 友通 (上市電腦及週邊設備業),0.2,0.3,0.27,0.28,0.3,0.29,0.33,0.26,0.24,0.25,0.26,0.24,0.34,0.33,0.35,0.3,0.29,0.31,0.33,0.3,0.31,0.33,-0.22,0.21,0.24,0.24,0.25,0.14,0.18,0.2,0.16,0.19,0.19,0.19,0.2,0.19,0.23,0.21,0.21,0.25,0.24,0.23,0.22,0.22,0.23,0.24,0.27,0.29
8234 新漢 (上櫃電腦及週邊設備業),0.31,0.28,0.32,0.24,0.28,0.25,0.31,0.23,0.25,0.25,0.28,0.21,0.23,0.25,0.27,0.21,0.24,0.24,0.24,0.2,0.18,0.18,0.17,0.17,0.18,0.23,0.24,0.34,0.31,0.25,0.29,0.3,0.32,0.32,0.32,0.28,0.3,0.29,0.34,0.28,0.3,0.33,0.36,0.28,0.29,0.32,0.27,0.3
2395 研華 (上市電腦及週邊設備業),0.3,0.29,0.29,0.27,0.29,0.3,0.29,0.23,0.28,0.26,0.26,0.25,0.26,0.28,0.28,0.27,0.27,0.29,0.27,0.26,0.24,0.22,0.22,0.2,0.2,0.22,0.24,0.26,0.3,0.31,0.31,0.29,0.31,0.3,0.3,0.28,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.26,0.29,0.28,0.27,0.28
6166 凌華 (上市電腦及週邊設備業),0.33,0.33,0.37,0.31,0.3,0.29,0.34,0.29,0.25,0.27,0.32,0.21,0.2,0.19,0.23,0.19,0.21,0.22,0.24,0.21,0.21,0.2,0.22,0.16,0.2,0.2,0.25,0.26,0.33,0.3,0.29,0.3,0.37,0.32,0.33,0.32,0.33,0.32,0.29,0.26,0.29,0.29,0.36,0.28,0.32,0.33,0.29,0.3
3088 艾訊 (上櫃電腦及週邊設備業),0.26,0.34,0.31,0.26,0.28,0.28,0.3,0.27,0.26,0.27,0.29,0.23,0.25,0.33,0.29,0.28,0.29,0.3,0.31,0.26,0.29,0.25,0.24,0.2,0.23,0.26,0.27,0.39,0.39,0.46,0.46,0.47,0.46,0.44,0.43,0.43,0.38,0.44,0.48,0.44,0.37,0.42,0.38,0.32,0.28,0.29,0.3,0.3
6579 研揚 (上市電腦及週邊設備業),0.22,0.22,0.15,0.15,0.16,0.14,0.16,0.14,0.16,0.15,0.15,0.13,0.14,0.16,0.21,0.19,0.19,0.19,0.2,0.17,0.16,0.14,0.14,0.12,0.12,0.12,0.12,,,,,,,,,,,,,,0.75,0.38,0.3,0.28,0.31,0.26,0.22,0.2
3479 安勤 (上櫃電腦及週邊設備業),0.38,0.32,0.4,0.34,0.38,0.37,0.46,0.36,0.24,0.28,0.3,0.29,0.29,0.31,0.32,0.35,0.36,0.37,0.42,0.37,0.34,0.39,0.33,0.27,0.32,0.34,0.3,0.33,0.36,0.46,0.4,0.4,0.42,0.43,0.43,0.36,0.32,0.43,0.47,0.46,0.42,0.37,0.34,0.34,0.35,0.38,0.34,0.36
6414 樺漢 (上市電腦及週邊設備業),0.34,0.25,0.32,0.23,0.23,0.24,0.28,0.21,0.22,0.24,0.29,0.22,0.25,0.25,0.31,0.24,0.26,0.3,0.22,0.24,0.25,0.25,0.27,0.24,0.25,0.26,,,0.44,0.5,0.4,0.31,0.37,0.49,0.52,0.43,0.44,0.43,0.45,0.37,0.35,0.32,0.28,0.2,0.14,0.29,0.23,0.29
6570 維田 (上櫃電腦及週邊設備業),0.24,0.23,0.28,0.26,0.28,0.24,0.26,0.2,0.2,0.2,0.17,0.15,0.2,0.22,0.23,0.2,0.2,0.26,0.22,0.17,0.2,0.17,0.17,0.18,0.18,0.15,0.15,,,,,,,,,,0.72,,0.76,,0.62,,0.57,,0.61,0.3,0.22,0.21
6245 立端 (上櫃通信網路業),0.38,0.35,0.39,0.34,0.3,0.34,0.36,0.26,0.3,0.37,0.31,0.24,0.23,0.29,0.31,0.24,0.31,0.31,0.36,0.25,0.25,0.2,0.23,0.18,0.18,0.23,0.24,0.31,0.33,0.33,0.35,0.31,0.32,0.33,0.38,0.32,0.34,0.34,0.38,0.32,0.36,0.33,0.38,0.3,0.34,0.35,0.3,0.34
通信網路業,0.22,0.18,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.18,0.2,0.17,0.17,0.17,0.19,0.17,0.18,0.2,0.21,0.18,0.18,0.19,0.2,0.17,0.18,0.18,0.21,0.2,0.24,0.22,0.22,0.19,0.22,0.2,0.23,0.2,0.2,0.19,0.21,0.19,0.2,0.2,0.21,0.19,0.2,0.2,0.18,0.18
