出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,Category
115/08/17,110/1,1101,台泥,水泥工業,8596261,10933035,7502141,-21.373516137101912,14.584103391285234,8596261,7502141,14.584103391285234,-,上市
115/08/17,110/1,1102,亞泥,水泥工業,7436331,8320877,5210319,-10.630441959423267,42.72314228744919,7436331,5210319,42.72314228744919,-,上市
115/08/17,110/1,1103,嘉泥,水泥工業,195482,200989,165029,-2.739950942588898,18.453120360663885,195482,165029,18.453120360663885,-,上市
115/08/17,110/1,1104,環泥,水泥工業,511466,555150,359966,-7.86886427091777,42.087308245778765,511466,359966,42.087308245778765,-,上市
115/08/17,110/1,1108,幸福,水泥工業,417355,388124,296395,7.531355958405046,40.81040503382311,417355,296395,40.81040503382311,-,上市
115/08/17,110/1,1109,信大,水泥工業,739226,852626,476715,-13.300087025260783,55.0666540805303,739226,476715,55.0666540805303,去年營收因逢農曆春節假期致工作天數短少及大陸新冠肺炎疫情影響而下降,上市
115/08/17,110/1,1110,東泥,水泥工業,137866,160628,126262,-14.170630276166047,9.19041358445138,137866,126262,9.19041358445138,-,上市
115/08/17,110/1,1201,味全,食品工業,1461118,1472723,1442127,-0.7879961133220572,1.316874311347059,1461118,1442127,1.316874311347059,-,上市
115/08/17,110/1,1203,味王,食品工業,545268,519264,516699,5.007857274912183,5.529137853953656,545268,516699,5.529137853953656,-,上市
115/08/17,110/1,1210,大成,食品工業,8480630,8214226,6175533,3.243202707108375,37.32628422518348,8480630,6175533,37.32628422518348,-,上市
115/08/17,110/1,1213,大飲,食品工業,32550,31241,31854,4.190006721935918,2.184968920700697,32550,31854,2.184968920700697,-,上市
115/08/17,110/1,1215,卜蜂,食品工業,2037460,2057868,1686306,-0.9917059791978884,20.823859963731376,2037460,1686306,20.823859963731376,-,上市
115/08/17,110/1,1216,統一,食品工業,45194815,34159430,41529085,32.30553027377799,8.826898064332504,45194815,41529085,8.826898064332504,-,上市
115/08/17,110/1,1217,愛之味,食品工業,411016,280185,405408,46.69450541606439,1.38329781356066,411016,405408,1.38329781356066,-,上市
115/08/17,110/1,1218,泰山,食品工業,845756,694505,736974,21.77824493704149,14.760629275931038,845756,736974,14.760629275931038,-,上市
115/08/17,110/1,1219,福壽,食品工業,1326083,1185413,1016959,11.86675023810267,30.396898990028117,1326083,1016959,30.396898990028117,-,上市
115/08/17,110/1,1220,台榮,食品工業,262424,258665,201511,1.4532310130864246,30.228126504260317,262424,201511,30.228126504260317,-,上市
115/08/17,110/1,1225,福懋油,食品工業,1076979,1006866,850077,6.963488686677274,26.691934965891324,1076979,850077,26.691934965891324,-,上市
115/08/17,110/1,1227,佳格,食品工業,4585987,3872526,2931475,18.423659389246197,56.43957393462336,4585987,2931475,56.43957393462336,本月營收增加主係來自於大陸子公司之營收貢獻,上市
115/08/17,110/1,1229,聯華,食品工業,761338,946645,602410,-19.575131120958755,26.382032170780697,761338,602410,26.382032170780697,-,上市
115/08/17,110/1,1231,聯華食,食品工業,949444,921214,883070,3.064434539640084,7.516278437722944,949444,883070,7.516278437722944,-,上市
115/08/17,110/1,1232,大統益,食品工業,1659919,1845049,1479927,-10.033879859017294,12.16222151498013,1659919,1479927,12.16222151498013,-,上市
115/08/17,110/1,1233,天仁,食品工業,170575,171334,223889,-0.4429943852358551,-23.812692896926603,170575,223889,-23.812692896926603,-,上市
115/08/17,110/1,1234,黑松,食品工業,835074,845690,831335,-1.2553063179179131,0.4497585209331978,835074,831335,0.4497585209331978,-,上市
115/08/17,110/1,1235,興泰,食品工業,1833,8603,1350,-78.69347901894687,35.77777777777778,1833,1350,35.77777777777778,-,上市
115/08/17,110/1,1236,宏亞,食品工業,329513,231166,208484,42.54388621164012,58.05193683927784,329513,208484,58.05193683927784,本年度業績大幅成長主因：節慶挪移影響，使得今年度大量出貨落點在1月份，去年度則落在108年12月份。,上市
115/08/17,110/1,1256,鮮活果汁-KY,食品工業,470300,291122,198957,61.54739250211252,136.3827359680735,470300,198957,136.3827359680735,109年農曆春節在1月下旬，因一般物流業者於春節前二週起即陸續停止運送，故相對出貨天數較少，致今年1月營收成長幅度較大。,上市
115/08/17,110/1,1301,台塑,塑膠工業,19215607,19710124,13858050,-2.508949208031365,38.66025162270305,19215607,13858050,38.66025162270305,-,上市
115/08/17,110/1,1303,南亞,塑膠工業,29346765,28327943,22313695,3.5965265815452963,31.51907382439349,29346765,22313695,31.51907382439349,-,上市
115/08/17,110/1,1304,台聚,塑膠工業,5316928,5820253,3557870,-8.647819948720443,49.44132303878444,5316928,3557870,49.44132303878444,-,上市
115/08/17,110/1,1305,華夏,塑膠工業,1603671,1680981,1042016,-4.599100168294585,53.90080382642877,1603671,1042016,53.90080382642877,109年1月逢春節假期營收較低 ; 今年因部分PVC大廠受疫情、歲修或事故而減產，後疫情需求恢復，庫存偏低致價格大漲。,上市
115/08/17,110/1,1307,三芳,塑膠工業,949887,693860,748887,36.8989421497132,26.839830308177334,949887,748887,26.839830308177334,-,上市
115/08/17,110/1,1308,亞聚,塑膠工業,653244,682421,383724,-4.27551320958763,70.23798355067704,653244,383724,70.23798355067704,銷售數量因年節差異，並同產品平均售價皆較去年同期提高所致。,上市
115/08/17,110/1,1309,台達化,塑膠工業,1456463,1789006,1033894,-18.58814336005581,40.87159805550666,1456463,1033894,40.87159805550666,-,上市
115/08/17,110/1,1310,台苯,塑膠工業,730042,870907,768429,-16.174516911679433,-4.995516827188979,730042,768429,-4.995516827188979,-,上市
115/08/17,110/1,1312,國喬,塑膠工業,1739674,1848773,1471941,-5.901157145847543,18.189112199469957,1739674,1471941,18.189112199469957,-,上市
115/08/17,110/1,1313,聯成,塑膠工業,5994488,6091072,3379946,-1.585665052063085,77.35454945138177,5994488,3379946,77.35454945138177,營收較去年同期增加77.35%，主要係去年1月逢農曆春節連假。,上市
115/08/17,110/1,1314,中石化,塑膠工業,2541752,1880643,2063432,35.153349147073634,23.180797816453364,2541752,2063432,23.180797816453364,-,上市
115/08/17,110/1,1315,達新,塑膠工業,185347,213256,165414,-13.087087819334508,12.05037058531926,185347,165414,12.05037058531926,-,上市
115/08/17,110/1,1316,上曜,建材營造,107981,49163,30363,119.63875272054187,255.63350130092547,107981,30363,255.63350130092547,本月增加房地收入,上市
115/08/17,110/1,1319,東陽,汽車工業,1486448,1593441,1559320,-6.714588114652504,-4.67331913911192,1486448,1559320,-4.67331913911192,-,上市
115/08/17,110/1,1321,大洋,塑膠工業,464301,479536,356932,-3.177029461813086,30.081079869554987,464301,356932,30.081079869554987,-,上市
115/08/17,110/1,1323,永裕,塑膠工業,279444,301482,237926,-7.309889147610803,17.449963434008893,279444,237926,17.449963434008893,-,上市
115/08/17,110/1,1324,地球,塑膠工業,82015,102720,76543,-20.15673676012461,7.148922827691624,82015,76543,7.148922827691624,-,上市
115/08/17,110/1,1325,恆大,塑膠工業,218816,295463,58992,-25.941319217634696,270.92487116897206,218816,58992,270.92487116897206,受新冠肺炎影響致營收增加,上市
115/08/17,110/1,1326,台化,塑膠工業,26749217,26248571,22647976,1.907326688374769,18.10864246765362,26749217,22647976,18.10864246765362,-,上市
115/08/17,110/1,1337,再生-KY,塑膠工業,107554,137055,87446,-21.52493524497465,22.99476248198889,107554,87446,22.99476248198889,-,上市
115/08/17,110/1,1338,廣華-KY,汽車工業,647553,724559,473528,-10.627981986284071,36.75073068540826,647553,473528,36.75073068540826,-,上市
115/08/17,110/1,1339,昭輝,汽車工業,197300,189986,168854,3.8497573505416183,16.846506449358618,197300,168854,16.846506449358618,-,上市
115/08/17,110/1,1340,勝悅-KY,塑膠工業,57252,46900,59363,22.072494669509595,-3.556087124976837,57252,59363,-3.556087124976837,-,上市
115/08/17,110/1,1341,富林-KY,塑膠工業,228998,320897,184008,-28.638161154513757,24.450023912003825,228998,184008,24.450023912003825,-,上市
115/08/17,110/1,1342,八貫,其他,156539,146660,135680,6.735987999454521,15.373673349056604,156539,135680,15.373673349056604,-,上市
115/08/17,110/1,1402,遠東新,紡織纖維,19154653,20535299,17466170,-6.723281701425433,9.667162291446838,19154653,17466170,9.667162291446838,-,上市
115/08/17,110/1,1409,新纖,紡織纖維,3145297,4167286,2560642,-24.52409073915253,22.832360009716314,3145297,2560642,22.832360009716314,-,上市
115/08/17,110/1,1410,南染,紡織纖維,36064,42139,24254,-14.416573720306603,48.69299909293312,36064,24254,48.69299909293312,-,上市
115/08/17,110/1,1413,宏洲,紡織纖維,202561,163371,161063,23.98834554480293,25.765073294300983,202561,161063,25.765073294300983,-,上市
115/08/17,110/1,1414,東和,紡織纖維,69139,87371,55721,-20.867335843701,24.080687711993683,69139,55721,24.080687711993683,-,上市
